,ID,Marking,Finishing,Aggression,GKPositioning,BallControl,SprintSpeed,GKDiving,Jumping,Penalties,Stamina,StandingTackle,Agility,HeadingAccuracy,Reactions,LongPassing,Strength,ShotPower,Vision,GKHandling,Age,Dribbling,Name,Volleys,LongShots,Positioning,SlidingTackle,Interceptions,Acceleration,Balance,ShortPassing,Composure,Crossing,GKKicking,Overall,GKReflexes,Curve
56,178518,78,76,88,8,85,78,11,76,63,94,85,81,59,87,81,78,84,76,11,28,80,Radja Nainggolan,75,86,88,88,86,81,84,84,85,73,14,86,11,73
59,168609,89,43,83,13,67,76,12,82,49,65,90,62,84,82,65,81,70,53,6,32,62,Miranda,51,41,43,89,88,68,58,65,80,48,10,86,12,32
60,165153,13,87,65,5,86,82,13,70,82,74,15,77,78,83,47,78,83,85,11,29,82,Karim Benzema,79,77,87,12,22,79,60,86,82,75,5,86,7,79
61,162895,60,76,45,15,86,62,6,68,80,80,63,65,74,81,90,64,77,91,10,29,80,Cesc Fàbregas,81,75,78,62,50,65,77,91,92,85,8,86,15,77
62,156616,13,76,52,7,90,79,15,50,78,64,25,88,41,86,75,60,76,86,6,33,90,Franck Ribéry,80,73,81,26,36,85,91,86,86,81,9,86,10,83
63,146562,58,77,64,7,87,65,6,70,80,72,64,85,58,85,84,59,78,85,9,32,86,Santi Cazorla,72,82,82,52,64,75,91,86,88,85,5,86,15,86
64,137186,90,27,74,2,65,79,4,85,60,69,90,59,76,82,65,87,54,58,2,35,60,Andrea Barzagli,35,39,28,90,92,69,65,65,82,40,4,86,4,50
66,193301,23,87,70,5,84,87,11,78,84,80,42,87,76,85,68,79,81,77,6,25,85,Alexandre Lacazette,82,74,87,30,40,84,84,80,86,70,9,85,6,74
67,193041,12,15,32,80,19,53,87,74,25,39,14,60,11,82,37,75,21,54,82,30,16,Keylor Navas,11,13,16,14,20,54,61,30,49,11,72,85,85,11
68,192505,27,87,72,7,79,89,8,71,80,80,30,62,83,77,68,93,88,70,15,23,76,Romelu Lukaku,76,76,85,30,27,81,48,71,84,68,14,85,10,64
69,190460,38,75,44,7,86,74,9,57,67,88,56,77,52,82,83,52,78,88,14,25,84,Christian Eriksen,69,80,81,22,45,78,81,87,82,84,7,85,6,85
71,184087,86,45,79,16,70,69,16,83,60,75,88,60,83,84,81,81,86,64,6,28,61,Toby Alderweireld,38,66,56,83,86,63,49,77,81,64,14,85,14,63
72,180403,43,75,44,7,86,86,14,46,60,86,62,87,29,81,77,61,71,83,12,28,87,Willian,59,80,78,51,55,92,82,82,74,75,13,85,13,80
73,180206,60,70,62,7,89,75,7,61,79,79,64,79,60,84,85,65,79,88,7,26,86,Miralem Pjanić,71,84,76,64,68,75,79,89,84,80,13,85,8,86
74,178088,25,80,52,5,88,63,9,72,81,74,28,89,63,85,77,43,75,87,10,28,83,Juan Mata,71,70,84,21,39,75,89,86,85,83,14,85,8,84
76,177388,29,76,57,14,90,75,11,48,76,73,36,80,59,76,84,76,78,87,15,30,89,Dimitri Payet,79,83,79,39,37,79,81,86,86,86,9,85,12,90
77,175943,30,77,59,10,88,87,7,60,78,76,40,94,35,80,74,42,80,81,10,29,88,Dries Mertens,70,81,81,40,36,93,92,80,75,77,8,85,4,80
78,172879,87,44,90,12,58,83,6,84,38,74,89,63,84,81,64,86,79,52,8,28,58,Sokratis,46,44,50,86,80,73,67,64,82,47,5,85,5,37
80,170890,83,65,85,10,77,79,8,83,56,94,85,77,73,84,79,78,74,75,11,29,73,Blaise Matuidi,72,66,68,81,85,79,79,84,85,75,5,85,14,65
81,167628,11,11,31,85,15,50,82,72,25,37,12,51,12,77,34,76,21,49,84,30,12,Stéphane Ruffier,13,11,12,11,25,45,55,33,57,11,77,85,87,17
82,165229,83,32,90,11,67,80,13,86,51,77,87,70,84,82,69,76,54,56,11,31,62,Laurent Koscielny,35,47,31,86,86,78,62,76,80,54,9,85,7,22
83,164169,85,59,81,9,81,83,11,62,65,91,83,74,68,83,77,74,71,70,15,31,77,Filipe Luís,56,60,71,86,82,77,60,78,78,84,9,85,5,74
84,139720,85,45,81,8,66,69,10,73,63,68,88,60,84,83,66,87,75,59,9,30,63,Vincent Kompany,46,55,41,86,77,68,42,65,85,61,5,85,6,61
85,212218,86,45,72,14,71,71,10,77,35,73,88,49,85,82,78,84,70,52,11,22,55,Aymeric Laporte,40,47,54,85,85,68,55,73,68,58,5,84,5,62
86,208418,19,78,61,10,85,89,9,68,74,74,39,91,53,83,72,59,84,74,11,23,90,Yannick Carrasco,68,75,82,26,18,87,71,77,66,80,9,84,10,81
87,204963,85,41,81,9,83,85,13,76,45,84,85,82,65,81,71,75,64,57,13,25,76,Carvajal,34,36,61,86,82,78,79,81,69,83,15,84,15,72
88,204485,25,77,40,11,90,79,15,59,72,77,27,92,45,75,76,57,76,79,9,26,88,Riyad Mahrez,71,73,80,21,38,86,82,80,82,80,13,84,6,79
89,201535,84,40,73,5,75,83,11,79,43,70,86,58,83,79,74,84,52,56,11,23,57,Raphaël Varane,42,53,44,85,82,80,47,72,66,36,9,84,14,46
90,201399,17,89,35,7,79,80,13,90,78,72,21,75,84,83,54,76,81,64,9,24,75,Mauro Icardi,81,70,89,21,22,78,76,73,76,46,5,84,9,58
91,198219,16,71,34,9,90,86,8,55,61,77,24,96,56,80,72,44,68,85,4,25,88,Lorenzo Insigne,74,79,83,22,26,94,93,81,72,82,14,84,10,78
92,197781,25,79,58,15,90,69,10,64,76,71,66,83,55,78,82,59,72,84,8,24,89,Isco,64,80,83,49,65,76,82,84,76,72,12,84,6,86
93,193747,63,71,71,10,86,69,14,61,59,82,66,77,61,84,85,75,84,89,12,25,80,Koke,56,81,80,51,64,74,78,86,75,84,5,84,13,85
94,192774,88,10,86,15,65,80,8,86,26,79,86,69,80,81,61,84,43,22,6,25,54,Kostas Manolas,16,12,25,87,85,79,60,60,75,27,8,84,12,30
95,192593,15,10,31,83,19,54,82,75,23,32,14,42,13,79,26,80,24,52,79,32,11,Danijel Subašić,13,14,15,13,20,51,37,24,65,11,79,84,84,24
96,192366,81,53,89,11,64,75,12,90,44,78,84,71,85,78,66,81,69,45,5,29,41,Nicolás Otamendi,56,56,49,83,82,68,62,70,74,52,8,84,12,50
97,192227,82,58,79,10,70,73,11,85,54,74,83,66,81,81,69,81,66,55,9,24,53,Shkodran Mustafi,51,52,50,85,85,67,69,77,71,51,15,84,6,55
98,191202,76,64,83,14,79,68,7,71,69,90,83,57,77,82,80,90,78,77,15,28,72,Nemanja Matić,74,75,68,77,86,66,53,83,85,68,12,84,9,68
99,191043,76,57,70,12,81,89,7,79,59,93,82,79,72,80,69,79,78,70,7,26,82,Alex Sandro,68,72,72,82,82,83,79,79,80,86,9,84,5,78
100,190547,86,11,86,8,59,63,10,79,39,69,86,33,84,76,59,88,57,23,14,29,51,Kamil Glik,17,20,24,82,87,56,55,59,73,29,5,84,10,35
102,189712,72,68,86,6,85,69,7,55,77,79,83,66,68,84,83,84,85,84,12,27,76,Kevin Strootman,63,78,78,75,84,66,68,86,85,74,11,84,7,75
103,184144,30,73,57,7,85,80,8,68,71,71,42,87,54,84,78,50,72,82,11,29,86,Nicolás Gaitán,81,74,79,43,40,85,81,82,80,83,9,84,5,88
105,181458,26,78,59,9,83,87,6,82,76,86,45,78,78,80,73,77,83,78,7,28,84,Ivan Perišić,80,80,84,45,42,83,67,81,80,84,10,84,6,73
107,179846,76,70,82,15,81,69,11,69,69,79,86,59,76,86,81,91,84,80,9,29,78,Sami Khedira,76,80,80,78,86,63,55,85,84,72,5,84,8,68
108,179784,85,48,79,10,70,67,14,82,56,69,84,65,83,82,64,81,62,57,6,29,60,Benedikt Höwedes,38,31,51,84,85,63,61,74,82,58,9,84,7,38
109,179783,12,11,36,85,24,47,83,72,21,32,12,39,14,84,26,79,24,42,86,28,15,Ralf Fährmann,11,9,11,10,23,38,36,25,61,14,51,84,87,18
110,178750,12,14,20,82,14,54,86,73,15,43,15,62,13,79,39,73,24,46,83,27,15,Sergio Asenjo,22,23,12,14,22,59,58,39,39,24,76,84,85,23
112,177509,86,49,84,7,65,69,7,83,41,69,86,59,85,78,65,89,59,47,4,29,64,Medhi Benatia,31,24,39,84,80,69,55,65,78,45,8,84,11,34
113,163705,10,13,37,80,17,43,86,74,11,31,15,52,13,81,28,61,24,55,80,32,15,Steve Mandanda,13,11,11,13,23,53,36,37,63,14,77,84,85,13
114,146530,72,60,78,6,85,83,5,79,70,75,80,85,72,82,77,55,86,78,11,33,84,Dani Alves,68,78,72,84,82,79,87,81,82,84,9,84,7,78
116,142754,82,42,88,5,80,65,6,75,60,86,84,71,68,83,75,74,76,68,10,32,58,Javier Mascherano,51,55,51,83,90,67,78,79,86,63,8,84,5,63
117,106231,46,85,82,15,80,71,14,93,77,66,44,53,94,85,52,82,83,73,10,36,79,Aduriz,84,80,86,49,23,69,57,71,87,54,9,84,9,61
119,225508,83,33,86,9,63,83,14,86,46,81,85,76,79,75,56,84,55,41,14,22,59,Eric Bailly,36,48,44,86,85,79,65,72,69,41,10,83,8,46
120,216460,85,37,89,10,56,72,9,90,38,70,86,57,79,76,58,83,72,27,11,22,47,José María Giménez,30,48,24,87,85,68,51,68,60,47,7,83,15,36
121,215914,75,65,90,7,79,81,15,79,54,94,89,80,54,85,79,76,72,76,12,26,76,N'Golo Kanté,56,66,69,85,91,83,90,84,84,67,10,83,10,49
122,215316,16,15,26,82,15,48,85,68,24,42,13,58,12,77,23,73,24,58,79,24,15,Gerónimo Rulli,16,17,12,17,21,54,50,32,30,12,75,83,86,19
123,212814,67,72,61,8,85,77,6,63,66,88,75,81,55,82,78,69,77,82,15,24,84,João Mário,69,73,80,61,78,75,70,83,85,77,8,83,8,74
124,211575,65,68,81,14,83,66,12,58,55,77,77,68,69,82,84,85,80,83,9,23,84,André Gomes,63,73,77,64,76,72,64,85,78,61,6,83,8,82
125,207865,85,33,80,10,76,74,6,84,31,75,85,68,80,81,73,74,53,51,6,22,65,Marquinhos,31,35,46,86,84,73,68,77,77,72,12,83,13,49
126,207664,12,88,68,5,80,83,12,77,79,74,16,78,76,82,50,76,78,66,12,30,80,Carlos Bacca,82,70,87,14,34,83,75,72,80,60,8,83,8,72
127,207566,77,55,75,14,78,53,6,68,60,84,85,45,72,74,86,88,63,77,6,24,79,William Carvalho,57,63,64,71,84,52,54,83,87,58,5,83,14,66
128,202857,28,75,59,11,84,90,10,75,57,76,30,87,48,81,62,68,85,79,12,26,87,Karim Bellarabi,72,78,80,33,38,91,78,81,72,78,7,83,10,70
129,202652,48,73,34,15,84,92,15,60,63,75,58,90,38,79,67,64,68,76,12,22,86,Raheem Sterling,59,70,81,54,26,94,91,81,74,72,12,83,9,64
130,202166,25,75,48,13,85,77,11,76,63,69,35,82,65,81,72,67,84,80,13,23,87,Julian Draxler,84,81,79,26,36,77,75,83,78,78,5,83,8,78
131,201942,30,82,64,6,83,79,8,81,72,86,64,82,73,81,76,76,79,83,11,25,87,Roberto Firmino,78,80,84,42,37,79,81,83,76,72,9,83,10,80
132,201862,79,52,89,15,71,74,7,86,64,81,83,73,85,79,73,83,79,57,8,27,69,Marcos Rojo,49,63,59,83,80,74,63,72,69,75,12,83,10,67
133,201024,85,19,86,13,57,78,7,78,33,75,86,53,78,79,48,93,55,34,11,25,54,Kalidou Koulibaly,14,15,24,84,81,69,48,57,67,30,7,83,5,28
134,200888,80,56,89,14,77,69,9,67,52,89,85,58,77,77,79,89,77,69,7,25,77,Danilo Pereira,56,64,68,78,85,67,60,81,83,50,13,83,15,48
135,200316,11,13,41,82,22,51,80,64,21,31,13,50,14,80,32,67,22,55,82,23,20,Timo Horn,14,17,15,12,22,45,31,35,20,19,83,83,84,12
136,200145,79,59,87,12,77,62,13,87,66,85,86,66,74,78,82,82,86,72,14,25,69,Casemiro,53,75,66,85,84,59,57,80,73,52,16,83,12,59
137,199715,25,79,61,14,85,81,11,70,74,82,21,75,65,80,82,81,77,78,16,27,86,Vitolo,75,73,80,23,25,83,63,81,70,80,8,83,16,76
138,199482,13,18,35,77,21,64,86,85,16,33,15,65,16,85,31,65,20,52,79,26,15,Anthony Lopes,13,18,17,13,25,60,62,32,55,19,80,83,87,15
139,198009,14,11,25,78,23,56,80,75,21,30,12,70,12,79,31,52,23,44,85,24,19,Mattia Perin,19,17,12,19,19,57,30,33,58,11,71,83,90,15
140,197061,85,36,81,7,71,77,11,65,42,75,84,58,88,81,77,80,66,72,15,25,68,Joel Matip,50,48,51,78,84,67,50,77,80,54,10,83,10,63
142,192629,20,84,63,12,84,80,12,68,74,72,21,88,78,86,67,59,79,68,16,29,85,Iago Aspas,86,82,85,18,36,86,77,80,69,69,9,83,13,83
143,192448,10,13,43,78,18,50,84,82,25,35,13,37,11,80,38,79,22,57,81,24,17,Marc-André ter Stegen,14,10,11,10,22,38,43,30,66,15,83,83,85,18
144,192318,16,74,48,6,90,68,14,62,65,60,43,86,49,84,79,67,68,82,7,24,88,Mario Götze,87,66,82,23,66,73,84,85,85,77,12,82,10,80
145,191740,66,71,85,9,85,68,9,63,79,85,72,85,60,85,80,65,72,86,12,27,81,Ander Herrera,67,74,79,68,82,78,84,86,82,74,15,83,8,78
146,191180,49,73,65,10,87,75,14,49,75,68,59,85,63,83,83,64,78,86,9,27,88,Javier Pastore,78,76,78,51,69,72,58,87,75,77,6,83,12,83
147,189881,81,50,82,15,61,77,10,75,52,79,84,60,85,83,63,87,42,49,15,27,59,Chris Smalling,54,35,48,81,82,76,48,66,80,52,16,83,15,49
148,189505,30,81,56,15,85,80,5,67,66,80,32,84,55,83,70,56,71,74,11,29,84,Pedro,70,73,84,31,49,86,82,83,72,78,12,83,9,81
149,189125,58,75,66,15,84,81,10,69,68,88,73,79,58,83,81,69,84,81,14,27,84,Giacomo Bonaventura,78,85,79,68,73,81,77,83,82,82,7,83,14,78
150,189117,14,8,35,80,23,52,83,74,20,36,13,51,17,80,24,74,22,50,82,26,16,Roman Bürki,13,14,10,16,18,44,52,37,58,15,73,83,85,13
153,186561,62,73,74,10,84,69,6,65,75,90,72,77,58,82,80,69,81,80,11,26,81,Aaron Ramsey,79,75,83,67,72,69,75,85,80,75,5,83,8,70
154,186547,85,48,81,6,73,70,5,83,57,72,84,73,81,81,70,81,57,64,11,26,43,Mateo Musacchio,36,53,50,86,85,75,59,78,70,55,12,83,12,53
156,185020,24,76,54,11,84,90,8,73,62,92,32,85,65,80,51,56,78,78,5,30,82,José Callejón,84,80,88,32,40,89,81,75,79,77,14,83,11,65
158,184432,87,46,76,6,77,79,13,75,66,88,88,75,73,88,74,74,68,68,9,27,70,Azpilicueta,54,60,64,87,85,79,73,80,66,79,10,83,5,66
159,184431,23,81,73,3,87,86,6,53,75,75,23,93,37,81,70,48,78,85,3,30,86,Sebastian Giovinco,70,80,83,28,26,90,93,78,88,72,6,83,3,86
161,181783,48,84,88,8,77,75,10,85,76,87,56,69,90,86,45,87,78,62,8,30,73,Mario Mandžukić,86,58,89,48,56,69,55,71,80,64,5,83,15,56
162,180819,60,79,74,8,86,74,6,73,70,89,68,83,67,78,78,67,72,83,15,28,85,Adam Lallana,72,72,77,62,68,76,76,86,80,74,14,83,11,77
163,178509,26,84,76,6,82,58,12,82,81,79,37,59,88,83,56,88,84,75,15,30,72,Olivier Giroud,82,76,84,20,41,60,52,77,78,63,11,83,5,70
164,178005,13,12,39,79,23,57,85,79,32,45,13,61,11,80,30,77,38,63,81,29,20,Rui Patrício,17,11,13,11,22,53,54,31,53,12,80,83,82,10
165,177683,11,13,38,80,25,54,81,69,24,45,19,55,10,80,31,68,23,58,82,28,15,Yann Sommer,8,12,15,12,21,48,58,40,57,13,83,83,83,12
167,176600,23,86,66,8,80,86,6,84,85,75,33,82,67,85,72,64,84,76,10,29,76,Kévin Gameiro,78,76,86,39,38,88,77,79,85,70,8,83,6,76
170,172871,81,60,83,12,74,66,6,80,68,79,85,62,82,81,74,81,86,65,10,29,70,Jan Vertonghen,52,68,63,81,83,69,55,78,82,68,9,83,7,58
171,172723,13,12,42,80,24,58,83,38,40,36,11,53,12,79,32,80,28,31,81,29,16,Asmir Begović,12,12,11,12,21,52,41,26,62,14,74,83,84,17
173,171833,15,84,60,5,81,82,7,74,75,70,24,78,73,81,62,71,83,74,15,27,82,Daniel Sturridge,76,83,84,12,22,80,64,75,81,62,9,83,13,62
175,170481,84,58,74,13,73,54,14,71,69,75,85,57,85,77,72,85,80,63,6,30,62,Ezequiel Garay,49,68,49,82,84,50,38,69,79,62,13,83,14,55
177,164468,83,56,78,5,63,66,5,82,53,68,85,62,86,84,61,78,63,56,12,31,58,Gary Cahill,47,66,45,84,83,69,51,65,77,28,9,83,12,48
178,163824,81,37,83,7,69,72,7,86,45,73,85,58,79,81,74,86,64,53,10,32,57,Ashley Williams,34,40,28,80,83,68,59,72,80,32,16,83,10,34
180,163587,14,12,33,80,24,60,83,60,26,35,14,62,16,78,18,62,36,59,80,30,12,Kasper Schmeichel,15,14,14,13,20,62,47,21,41,18,86,83,85,13
181,161956,58,67,52,8,88,68,5,68,72,76,66,80,60,84,86,66,72,86,4,32,86,Borja Valero,70,70,76,62,70,76,82,89,80,78,10,83,7,78
182,161648,33,79,67,13,86,77,12,76,87,71,43,85,65,75,78,75,83,80,8,30,91,Hatem Ben Arfa,75,81,74,23,40,79,79,79,75,77,9,83,12,80
183,150724,14,14,28,81,20,60,83,72,68,28,14,50,10,77,35,61,65,42,80,29,23,Joe Hart,19,19,14,13,25,59,32,32,68,14,75,83,85,17
186,139068,15,75,62,6,86,79,5,46,72,75,22,92,46,80,79,62,85,80,10,30,87,Nani,75,83,77,20,31,86,77,81,79,82,13,83,6,86
187,108080,78,50,84,3,75,83,4,75,66,88,82,75,72,80,71,75,74,62,3,33,76,Stephan Lichtsteiner,62,70,68,82,82,79,79,77,80,82,2,83,2,68
188,54050,48,84,81,8,80,73,10,81,79,84,54,77,76,83,85,84,86,83,11,31,77,Wayne Rooney,85,84,85,37,54,69,77,79,89,78,13,83,7,84
189,53302,75,50,84,10,78,69,10,78,75,79,84,69,81,80,82,84,81,72,7,33,64,Daniele De Rossi,74,74,55,82,87,69,72,82,82,57,13,83,9,62
191,20775,10,70,62,5,87,83,12,63,74,68,17,89,41,78,75,54,83,80,14,33,89,Quaresma,80,83,75,13,24,85,84,79,79,88,10,83,15,92
192,220834,30,75,45,12,85,78,13,58,62,74,45,79,50,78,81,62,67,83,9,21,82,Marco Asensio,76,78,72,41,45,81,76,86,78,80,6,82,10,84
193,218667,46,76,58,12,86,77,9,53,64,80,44,85,51,83,78,54,72,84,10,22,86,Bernardo Silva,65,64,78,35,49,82,83,83,82,76,14,83,9,77
194,217699,34,81,88,15,76,76,10,87,72,91,48,66,92,84,59,85,78,72,9,28,74,Islam Slimani,79,72,86,24,54,69,57,73,79,58,6,82,11,73
