,Marking,Finishing,Aggression,GKPositioning,BallControl,SprintSpeed,GKDiving,Jumping,Penalties,Stamina,StandingTackle,Agility,HeadingAccuracy,Reactions,LongPassing,Strength,ShotPower,Vision,GKHandling,Age,Dribbling,Name,Volleys,LongShots,Positioning,SlidingTackle,Interceptions,Acceleration,Balance,ShortPassing,Composure,Crossing,GKKicking,Overall,GKReflexes,Curve,ID
22,17.0,13.0,29.0,87.0,48.0,60.0,90.0,77.0,47.0,43.0,10.0,51.0,25.0,84.0,59.0,80.0,25.0,70.0,86.0,32,30.0,M. Neuer,11.0,16.0,12.0,11.0,30.0,54.0,35.0,55.0,70.0,15.0,91.0,89,87.0,14.0,167495
23,30.0,93.0,65.0,11.0,89.0,80.0,13.0,81.0,83.0,76.0,20.0,86.0,77.0,90.0,64.0,73.0,88.0,83.0,15.0,30,89.0,S. Agüero,85.0,83.0,92.0,12.0,24.0,88.0,91.0,81.0,90.0,70.0,6.0,89,14.0,82.0,153079
24,93.0,33.0,92.0,4.0,57.0,75.0,3.0,89.0,50.0,65.0,93.0,54.0,83.0,82.0,59.0,89.0,78.0,50.0,3.0,33,58.0,G. Chiellini,45.0,49.0,28.0,90.0,88.0,63.0,55.0,59.0,84.0,58.0,2.0,89,3.0,60.0,138956
26,38.0,90.0,63.0,11.0,88.0,91.0,14.0,68.0,61.0,84.0,43.0,91.0,59.0,91.0,72.0,70.0,77.0,82.0,14.0,26,89.0,M. Salah,73.0,83.0,90.0,41.0,55.0,94.0,88.0,82.0,91.0,78.0,9.0,88,14.0,83.0,209331
27,88.0,59.0,87.0,12.0,78.0,65.0,13.0,88.0,66.0,87.0,90.0,62.0,76.0,84.0,82.0,89.0,86.0,77.0,14.0,26,69.0,Casemiro,53.0,79.0,69.0,87.0,87.0,59.0,66.0,85.0,84.0,52.0,16.0,88,12.0,59.0,200145
29,51.0,77.0,34.0,9.0,93.0,86.0,8.0,53.0,61.0,75.0,24.0,94.0,56.0,83.0,78.0,44.0,75.0,87.0,4.0,27,90.0,L. Insigne,74.0,84.0,83.0,22.0,26.0,94.0,93.0,85.0,83.0,86.0,14.0,88,10.0,87.0,198219
30,60.0,79.0,58.0,15.0,95.0,69.0,10.0,64.0,76.0,70.0,64.0,87.0,55.0,77.0,83.0,59.0,69.0,89.0,8.0,26,94.0,Isco,65.0,87.0,78.0,51.0,64.0,75.0,90.0,89.0,86.0,75.0,12.0,88,6.0,88.0,197781
31,59.0,80.0,46.0,7.0,91.0,73.0,9.0,50.0,67.0,92.0,57.0,79.0,52.0,88.0,88.0,58.0,84.0,91.0,14.0,26,84.0,C. Eriksen,77.0,89.0,83.0,22.0,56.0,75.0,81.0,91.0,88.0,88.0,7.0,88,6.0,86.0,190460
32,55.0,79.0,59.0,14.0,92.0,75.0,12.0,59.0,70.0,79.0,54.0,92.0,48.0,83.0,83.0,61.0,83.0,90.0,7.0,26,91.0,Coutinho,75.0,93.0,84.0,47.0,49.0,89.0,93.0,88.0,85.0,79.0,9.0,88,6.0,91.0,189242
33,27.0,88.0,43.0,9.0,82.0,95.0,6.0,79.0,76.0,76.0,25.0,76.0,79.0,87.0,64.0,76.0,82.0,77.0,9.0,29,79.0,P. Aubameyang,86.0,79.0,90.0,36.0,48.0,93.0,70.0,77.0,86.0,77.0,15.0,88,9.0,80.0,188567
34,88.0,55.0,69.0,5.0,81.0,64.0,15.0,68.0,68.0,66.0,90.0,63.0,87.0,87.0,85.0,84.0,71.0,79.0,6.0,29,68.0,M. Hummels,60.0,51.0,56.0,88.0,92.0,53.0,60.0,81.0,91.0,64.0,10.0,88,6.0,65.0,178603
36,54.0,86.0,65.0,5.0,85.0,95.0,15.0,87.0,76.0,75.0,55.0,82.0,84.0,85.0,80.0,80.0,92.0,79.0,15.0,28,87.0,G. Bale,85.0,91.0,85.0,52.0,59.0,94.0,65.0,85.0,86.0,87.0,11.0,88,6.0,90.0,173731
37,29.0,10.0,31.0,83.0,34.0,62.0,88.0,74.0,40.0,41.0,10.0,55.0,10.0,85.0,50.0,43.0,23.0,30.0,84.0,31,10.0,H. Lloris,11.0,14.0,10.0,18.0,27.0,65.0,54.0,50.0,65.0,13.0,68.0,88,92.0,11.0,167948
38,35.0,92.0,50.0,5.0,85.0,73.0,5.0,79.0,70.0,70.0,22.0,75.0,80.0,86.0,59.0,85.0,86.0,74.0,12.0,30,84.0,G. Higuaín,90.0,80.0,92.0,18.0,20.0,73.0,69.0,75.0,86.0,68.0,7.0,88,10.0,74.0,167664
39,88.0,38.0,76.0,9.0,80.0,72.0,9.0,90.0,60.0,74.0,89.0,68.0,81.0,82.0,80.0,82.0,71.0,72.0,12.0,33,62.0,Thiago Silva,63.0,68.0,59.0,85.0,89.0,70.0,68.0,80.0,81.0,60.0,5.0,88,10.0,61.0,164240
40,25.0,10.0,25.0,89.0,16.0,55.0,87.0,78.0,23.0,41.0,10.0,47.0,10.0,83.0,34.0,71.0,22.0,41.0,86.0,33,12.0,S. Handanovič,12.0,19.0,12.0,13.0,22.0,51.0,36.0,36.0,69.0,12.0,69.0,88,89.0,12.0,162835
41,13.0,15.0,38.0,90.0,28.0,43.0,88.0,75.0,22.0,39.0,11.0,55.0,13.0,79.0,35.0,69.0,39.0,50.0,87.0,40,26.0,G. Buffon,17.0,13.0,12.0,11.0,28.0,49.0,49.0,37.0,70.0,13.0,74.0,88,83.0,20.0,1179
42,90.0,51.0,81.0,12.0,77.0,73.0,15.0,89.0,61.0,78.0,89.0,68.0,79.0,82.0,73.0,84.0,83.0,58.0,10.0,24,69.0,S. Umtiti,70.0,74.0,58.0,86.0,87.0,71.0,66.0,81.0,82.0,69.0,14.0,87,15.0,72.0,205600
43,45.0,91.0,56.0,7.0,81.0,78.0,13.0,94.0,82.0,72.0,24.0,76.0,91.0,88.0,54.0,76.0,84.0,64.0,9.0,25,77.0,M. Icardi,85.0,70.0,92.0,20.0,22.0,77.0,76.0,73.0,85.0,46.0,5.0,87,9.0,58.0,201399
44,91.0,19.0,87.0,13.0,60.0,75.0,7.0,81.0,33.0,71.0,88.0,50.0,81.0,80.0,56.0,94.0,55.0,43.0,11.0,27,66.0,K. Koulibaly,14.0,15.0,24.0,86.0,88.0,68.0,40.0,66.0,78.0,30.0,7.0,87,5.0,28.0,201024
45,66.0,73.0,78.0,4.0,90.0,79.0,5.0,83.0,81.0,88.0,70.0,74.0,73.0,81.0,90.0,89.0,90.0,87.0,6.0,25,87.0,P. Pogba,85.0,81.0,81.0,68.0,66.0,71.0,64.0,86.0,87.0,80.0,2.0,87,3.0,84.0,195864
46,28.0,15.0,32.0,82.0,19.0,53.0,90.0,74.0,25.0,39.0,14.0,60.0,11.0,84.0,37.0,75.0,21.0,68.0,81.0,31,16.0,K. Navas,11.0,13.0,16.0,14.0,20.0,54.0,61.0,30.0,67.0,11.0,75.0,87,90.0,11.0,193041
47,30.0,87.0,75.0,7.0,72.0,90.0,8.0,71.0,78.0,84.0,30.0,60.0,86.0,86.0,73.0,94.0,88.0,76.0,15.0,25,80.0,R. Lukaku,79.0,74.0,89.0,30.0,27.0,77.0,46.0,77.0,83.0,78.0,14.0,87,10.0,74.0,192505
48,34.0,90.0,77.0,12.0,83.0,85.0,6.0,77.0,78.0,80.0,33.0,77.0,81.0,87.0,49.0,76.0,86.0,65.0,8.0,28,83.0,C. Immobile,87.0,80.0,91.0,32.0,40.0,78.0,63.0,74.0,81.0,55.0,15.0,87,6.0,70.0,192387
49,72.0,73.0,75.0,6.0,84.0,93.0,13.0,81.0,59.0,91.0,84.0,90.0,70.0,83.0,74.0,61.0,64.0,70.0,15.0,29,80.0,Jordi Alba,60.0,66.0,79.0,85.0,84.0,93.0,85.0,84.0,79.0,87.0,13.0,87,13.0,80.0,189332
50,25.0,86.0,59.0,10.0,89.0,85.0,7.0,60.0,79.0,75.0,40.0,94.0,35.0,88.0,74.0,42.0,80.0,83.0,10.0,31,91.0,D. Mertens,70.0,81.0,87.0,40.0,36.0,93.0,92.0,82.0,81.0,77.0,8.0,87,4.0,82.0,175943
51,90.0,56.0,84.0,12.0,76.0,65.0,6.0,85.0,66.0,75.0,87.0,61.0,80.0,84.0,74.0,79.0,80.0,68.0,10.0,31,71.0,J. Vertonghen,52.0,66.0,60.0,88.0,89.0,61.0,60.0,79.0,83.0,68.0,9.0,87,7.0,58.0,172871
53,72.0,83.0,67.0,5.0,87.0,59.0,14.0,39.0,82.0,84.0,74.0,72.0,58.0,77.0,90.0,66.0,84.0,86.0,11.0,30,84.0,I. Rakitić,80.0,90.0,79.0,70.0,75.0,66.0,66.0,87.0,81.0,84.0,12.0,87,9.0,88.0,168651
54,91.0,64.0,72.0,15.0,78.0,60.0,10.0,74.0,69.0,65.0,86.0,58.0,83.0,84.0,80.0,83.0,62.0,62.0,11.0,31,59.0,Piqué,57.0,51.0,58.0,84.0,88.0,49.0,36.0,81.0,86.0,57.0,14.0,87,8.0,58.0,152729
55,36.0,81.0,61.0,9.0,85.0,96.0,8.0,64.0,71.0,79.0,32.0,88.0,72.0,81.0,64.0,70.0,86.0,82.0,12.0,22,88.0,L. Sané,85.0,78.0,84.0,35.0,34.0,93.0,81.0,79.0,78.0,83.0,9.0,86,14.0,82.0,222492
56,49.0,75.0,58.0,12.0,91.0,74.0,9.0,50.0,68.0,78.0,44.0,90.0,51.0,82.0,79.0,48.0,70.0,86.0,10.0,23,92.0,Bernardo Silva,69.0,72.0,83.0,35.0,49.0,84.0,88.0,85.0,85.0,85.0,14.0,86,9.0,83.0,218667
57,28.0,14.0,35.0,82.0,37.0,63.0,85.0,58.0,17.0,41.0,15.0,60.0,14.0,86.0,58.0,68.0,42.0,67.0,80.0,24,23.0,Ederson,18.0,18.0,20.0,8.0,25.0,64.0,48.0,56.0,70.0,20.0,91.0,86,87.0,15.0,210257
58,42.0,84.0,73.0,7.0,86.0,93.0,10.0,75.0,71.0,84.0,42.0,91.0,62.0,86.0,71.0,67.0,82.0,82.0,10.0,26,87.0,S. Mané,71.0,74.0,87.0,38.0,35.0,95.0,86.0,79.0,80.0,73.0,15.0,86,14.0,74.0,208722
59,88.0,52.0,81.0,11.0,73.0,77.0,13.0,85.0,62.0,71.0,89.0,61.0,82.0,85.0,78.0,92.0,81.0,59.0,10.0,26,70.0,V. van Dijk,45.0,64.0,41.0,84.0,86.0,74.0,49.0,76.0,83.0,53.0,13.0,86,11.0,60.0,203376
60,47.0,77.0,38.0,15.0,87.0,92.0,15.0,57.0,69.0,78.0,58.0,93.0,38.0,87.0,69.0,52.0,73.0,77.0,12.0,23,88.0,R. Sterling,67.0,73.0,87.0,54.0,30.0,95.0,93.0,84.0,77.0,77.0,12.0,86,9.0,70.0,202652
61,60.0,87.0,73.0,6.0,88.0,77.0,8.0,81.0,72.0,90.0,64.0,80.0,77.0,86.0,75.0,74.0,81.0,85.0,11.0,26,87.0,Roberto Firmino,81.0,76.0,87.0,42.0,58.0,78.0,81.0,86.0,87.0,72.0,9.0,86,10.0,80.0,201942
62,87.0,40.0,77.0,5.0,77.0,85.0,11.0,79.0,43.0,73.0,88.0,63.0,83.0,83.0,76.0,84.0,52.0,56.0,11.0,25,57.0,R. Varane,42.0,53.0,44.0,87.0,82.0,83.0,40.0,75.0,82.0,36.0,9.0,86,14.0,46.0,201535
63,78.0,60.0,89.0,15.0,88.0,62.0,12.0,64.0,64.0,77.0,83.0,87.0,55.0,85.0,89.0,52.0,56.0,87.0,12.0,25,90.0,M. Verratti,64.0,58.0,71.0,80.0,84.0,69.0,94.0,90.0,93.0,72.0,15.0,86,10.0,73.0,199556
64,81.0,55.0,82.0,12.0,81.0,86.0,7.0,79.0,60.0,92.0,84.0,79.0,76.0,84.0,71.0,79.0,80.0,70.0,7.0,27,80.0,Alex Sandro,68.0,72.0,70.0,84.0,82.0,83.0,78.0,81.0,82.0,84.0,9.0,86,5.0,78.0,191043
67,67.0,69.0,57.0,9.0,90.0,69.0,6.0,75.0,75.0,75.0,63.0,90.0,54.0,84.0,87.0,59.0,75.0,86.0,11.0,27,90.0,Thiago,90.0,79.0,79.0,65.0,78.0,78.0,86.0,90.0,85.0,72.0,7.0,86,13.0,85.0,189509
68,47.0,87.0,49.0,13.0,86.0,85.0,12.0,70.0,89.0,73.0,36.0,86.0,49.0,87.0,75.0,67.0,88.0,86.0,12.0,29,87.0,M. Reus,90.0,86.0,88.0,45.0,50.0,86.0,81.0,86.0,84.0,79.0,13.0,86,11.0,89.0,188350
69,88.0,46.0,82.0,6.0,77.0,76.0,13.0,76.0,66.0,87.0,90.0,72.0,76.0,88.0,80.0,71.0,68.0,74.0,9.0,28,69.0,Azpilicueta,51.0,60.0,62.0,86.0,89.0,76.0,73.0,81.0,78.0,81.0,10.0,86,5.0,68.0,184432
70,90.0,48.0,82.0,2.0,75.0,65.0,2.0,85.0,70.0,71.0,86.0,60.0,86.0,84.0,85.0,83.0,74.0,74.0,2.0,31,69.0,L. Bonucci,58.0,65.0,38.0,80.0,90.0,57.0,52.0,77.0,86.0,44.0,3.0,86,4.0,56.0,184344
71,90.0,45.0,80.0,16.0,74.0,66.0,16.0,84.0,58.0,74.0,91.0,60.0,82.0,86.0,85.0,79.0,78.0,67.0,6.0,29,62.0,T. Alderweireld,38.0,65.0,58.0,86.0,87.0,61.0,50.0,79.0,81.0,64.0,14.0,86,14.0,63.0,184087
72,75.0,60.0,70.0,7.0,89.0,66.0,7.0,61.0,79.0,78.0,74.0,77.0,60.0,84.0,85.0,66.0,78.0,88.0,7.0,28,86.0,M. Pjanić,72.0,82.0,70.0,70.0,78.0,66.0,79.0,89.0,86.0,80.0,13.0,86,8.0,86.0,180206
73,89.0,47.0,86.0,7.0,64.0,75.0,7.0,85.0,41.0,69.0,87.0,59.0,83.0,82.0,65.0,91.0,66.0,47.0,4.0,31,64.0,M. Benatia,44.0,24.0,38.0,85.0,86.0,65.0,53.0,65.0,82.0,45.0,8.0,86,11.0,34.0,177509
74,24.0,73.0,48.0,6.0,90.0,69.0,6.0,48.0,67.0,69.0,16.0,79.0,54.0,84.0,82.0,57.0,70.0,91.0,14.0,29,84.0,M. Özil,80.0,75.0,83.0,19.0,24.0,72.0,70.0,89.0,82.0,83.0,10.0,86,14.0,84.0,176635
76,67.0,70.0,58.0,13.0,92.0,67.0,6.0,47.0,71.0,55.0,57.0,79.0,54.0,86.0,85.0,58.0,65.0,93.0,13.0,34,90.0,Iniesta,74.0,71.0,81.0,56.0,66.0,70.0,84.0,90.0,89.0,77.0,6.0,86,7.0,80.0,41
77,92.0,42.0,86.0,8.0,67.0,73.0,10.0,78.0,56.0,77.0,88.0,48.0,80.0,81.0,68.0,83.0,50.0,57.0,13.0,23,59.0,M. Škriniar,40.0,30.0,30.0,82.0,86.0,70.0,48.0,70.0,80.0,40.0,12.0,85,12.0,34.0,232363
78,75.0,80.0,73.0,16.0,87.0,70.0,7.0,85.0,56.0,85.0,77.0,66.0,86.0,80.0,85.0,88.0,83.0,85.0,10.0,23,86.0,S. Milinković-Savić,74.0,80.0,79.0,72.0,78.0,68.0,59.0,85.0,82.0,64.0,7.0,85,7.0,78.0,223848
79,40.0,82.0,45.0,12.0,85.0,82.0,13.0,58.0,62.0,76.0,42.0,79.0,50.0,82.0,82.0,61.0,86.0,84.0,9.0,22,86.0,Marco Asensio,79.0,88.0,82.0,39.0,45.0,85.0,76.0,83.0,83.0,82.0,6.0,85,10.0,83.0,220834
80,31.0,82.0,73.0,14.0,89.0,79.0,15.0,69.0,81.0,80.0,37.0,90.0,49.0,80.0,75.0,82.0,84.0,81.0,9.0,24,90.0,N. Fekir,77.0,82.0,81.0,25.0,28.0,79.0,91.0,83.0,89.0,83.0,8.0,85,15.0,81.0,216594
81,15.0,13.0,27.0,84.0,30.0,45.0,83.0,52.0,23.0,32.0,19.0,40.0,19.0,84.0,44.0,78.0,21.0,66.0,81.0,25,27.0,Alisson,20.0,14.0,13.0,16.0,11.0,54.0,37.0,45.0,65.0,17.0,85.0,85,88.0,19.0,212831
82,75.0,66.0,74.0,15.0,85.0,68.0,8.0,79.0,44.0,85.0,81.0,84.0,74.0,85.0,80.0,65.0,75.0,79.0,15.0,23,80.0,J. Kimmich,61.0,69.0,80.0,79.0,79.0,78.0,83.0,85.0,82.0,90.0,7.0,85,15.0,81.0,212622
84,45.0,80.0,48.0,11.0,90.0,83.0,15.0,61.0,73.0,76.0,31.0,93.0,48.0,77.0,76.0,54.0,79.0,81.0,9.0,27,91.0,R. Mahrez,72.0,81.0,80.0,18.0,39.0,88.0,88.0,82.0,86.0,81.0,13.0,85,6.0,84.0,204485
85,80.0,63.0,69.0,15.0,83.0,86.0,5.0,82.0,80.0,87.0,82.0,79.0,75.0,84.0,80.0,71.0,83.0,77.0,7.0,26,79.0,D. Alaba,68.0,82.0,76.0,80.0,84.0,79.0,77.0,82.0,79.0,81.0,14.0,85,9.0,78.0,197445
86,80.0,72.0,71.0,10.0,86.0,68.0,14.0,61.0,59.0,90.0,69.0,74.0,61.0,85.0,89.0,79.0,84.0,87.0,12.0,26,82.0,Koke,56.0,81.0,84.0,51.0,66.0,71.0,78.0,90.0,78.0,86.0,5.0,85,13.0,85.0,193747
87,29.0,88.0,70.0,5.0,83.0,84.0,11.0,76.0,84.0,79.0,42.0,85.0,73.0,85.0,59.0,73.0,83.0,76.0,6.0,27,85.0,A. Lacazette,81.0,75.0,86.0,30.0,42.0,81.0,85.0,80.0,85.0,64.0,9.0,85,6.0,74.0,193301
88,86.0,10.0,86.0,15.0,65.0,85.0,8.0,86.0,26.0,76.0,87.0,68.0,80.0,85.0,61.0,82.0,40.0,22.0,6.0,27,54.0,K. Manolas,16.0,12.0,25.0,89.0,86.0,80.0,59.0,60.0,79.0,27.0,8.0,85,12.0,30.0,192774
89,83.0,54.0,91.0,11.0,70.0,61.0,12.0,92.0,45.0,67.0,85.0,64.0,85.0,79.0,72.0,80.0,69.0,53.0,5.0,30,51.0,N. Otamendi,57.0,56.0,51.0,84.0,84.0,57.0,62.0,75.0,80.0,52.0,8.0,85,12.0,50.0,192366
90,69.0,79.0,58.0,14.0,84.0,43.0,5.0,51.0,83.0,78.0,68.0,66.0,61.0,78.0,87.0,72.0,78.0,86.0,9.0,29,78.0,Parejo,72.0,82.0,81.0,60.0,81.0,51.0,72.0,90.0,78.0,84.0,12.0,85,8.0,89.0,189513
92,20.0,12.0,40.0,85.0,22.0,47.0,85.0,71.0,18.0,45.0,13.0,55.0,16.0,82.0,36.0,65.0,15.0,48.0,81.0,28,11.0,W. Szczęsny,14.0,14.0,14.0,12.0,15.0,51.0,51.0,32.0,65.0,12.0,71.0,85,87.0,16.0,186153
93,38.0,80.0,79.0,12.0,86.0,79.0,10.0,87.0,77.0,83.0,44.0,90.0,73.0,83.0,75.0,72.0,84.0,82.0,10.0,29,87.0,A. Sánchez,83.0,81.0,84.0,35.0,46.0,86.0,87.0,77.0,84.0,77.0,15.0,85,13.0,79.0,184941
94,51.0,76.0,46.0,7.0,86.0,75.0,13.0,72.0,75.0,85.0,36.0,92.0,46.0,84.0,72.0,49.0,69.0,79.0,16.0,28,93.0,Y. Brahimi,73.0,76.0,83.0,25.0,38.0,87.0,87.0,79.0,90.0,79.0,12.0,85,7.0,84.0,184267
95,84.0,34.0,81.0,6.0,70.0,72.0,7.0,74.0,46.0,69.0,87.0,56.0,85.0,82.0,83.0,91.0,78.0,75.0,12.0,29,64.0,J. Boateng,52.0,58.0,47.0,87.0,81.0,67.0,52.0,75.0,84.0,69.0,15.0,85,5.0,53.0,183907
96,82.0,75.0,93.0,2.0,82.0,55.0,4.0,85.0,81.0,83.0,87.0,74.0,82.0,84.0,79.0,79.0,86.0,80.0,2.0,31,76.0,A. Vidal,78.0,85.0,80.0,86.0,84.0,60.0,75.0,83.0,81.0,76.0,4.0,85,4.0,76.0,181872
97,64.0,79.0,65.0,9.0,85.0,88.0,6.0,84.0,76.0,89.0,52.0,78.0,80.0,81.0,77.0,78.0,84.0,79.0,7.0,29,84.0,I. Perišić,81.0,79.0,85.0,54.0,69.0,84.0,74.0,81.0,80.0,83.0,10.0,85,6.0,73.0,181458
98,58.0,89.0,51.0,15.0,84.0,66.0,9.0,66.0,67.0,76.0,28.0,57.0,84.0,83.0,72.0,80.0,86.0,74.0,11.0,32,76.0,E. Džeko,77.0,79.0,89.0,16.0,50.0,65.0,36.0,77.0,83.0,63.0,13.0,85,15.0,65.0,180930
99,80.0,72.0,82.0,15.0,84.0,60.0,11.0,68.0,69.0,78.0,83.0,55.0,76.0,87.0,82.0,87.0,82.0,82.0,9.0,31,81.0,S. Khedira,78.0,78.0,79.0,76.0,86.0,54.0,54.0,85.0,84.0,72.0,5.0,85,8.0,68.0,179846
100,58.0,87.0,93.0,8.0,83.0,76.0,11.0,64.0,75.0,76.0,39.0,58.0,82.0,85.0,52.0,92.0,83.0,74.0,13.0,29,77.0,Diego Costa,81.0,74.0,87.0,34.0,40.0,74.0,53.0,65.0,83.0,65.0,12.0,85,11.0,62.0,179844
101,83.0,75.0,88.0,8.0,85.0,73.0,11.0,76.0,63.0,93.0,86.0,76.0,59.0,87.0,81.0,77.0,84.0,76.0,11.0,30,80.0,R. Nainggolan,75.0,86.0,86.0,90.0,86.0,78.0,82.0,84.0,84.0,73.0,14.0,85,11.0,73.0,178518
