StandingTackle,Finishing,Composure,LongPassing,ShortPassing,SprintSpeed,HeadingAccuracy,Positioning,Aggression,Overall,LongShots,Marking,Jumping,GKHandling,Vision,Agility,GKReflexes,GKDiving,Balance,GKKicking,Dribbling,Age,Volleys,Strength,Stamina,Interceptions,Crossing,Penalties,BallControl,Acceleration,ShotPower,SlidingTackle,GKPositioning,Curve,Reactions,ID,RWB,RM,RS,LAM,CAM,RCM,LWB,LDM,CM,CDM,ST,RDM,CF,LF,LB,GK,RAM,RCB,LCB,CB,LS,LCM,RW,LM,LW,RF,RB
20.0,85.0,84.0,71.0,83.0,84.0,68.0,84.0,48.0,88.0,88.0,14.0,75.0,4.0,84.0,91.0,8.0,5.0,85.0,4.0,92.0,23.0,88.0,65.0,83.0,24.0,80.0,86.0,93.0,88.0,82.0,20.0,5.0,88.0,84.0,211110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,11.0,55.0,26.0,29.0,60.0,15.0,11.0,34.0,88.0,12.0,14.0,76.0,90.0,55.0,67.0,84.0,84.0,49.0,77.0,12.0,24.0,13.0,78.0,41.0,19.0,13.0,11.0,16.0,43.0,22.0,18.0,87.0,13.0,84.0,200389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,88.0,86.0,75.0,79.0,86.0,80.0,91.0,69.0,88.0,82.0,23.0,87.0,8.0,76.0,90.0,14.0,14.0,80.0,14.0,87.0,26.0,87.0,61.0,76.0,35.0,82.0,71.0,86.0,87.0,81.0,11.0,13.0,84.0,90.0,194765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64.0,69.0,83.0,90.0,91.0,68.0,58.0,83.0,57.0,88.0,82.0,49.0,75.0,11.0,86.0,90.0,13.0,6.0,86.0,7.0,90.0,26.0,90.0,59.0,75.0,78.0,72.0,75.0,92.0,77.0,75.0,62.0,9.0,85.0,84.0,189509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,88.0,84.0,64.0,77.0,96.0,79.0,89.0,43.0,88.0,79.0,28.0,77.0,9.0,77.0,77.0,9.0,6.0,70.0,15.0,82.0,28.0,86.0,77.0,79.0,48.0,77.0,79.0,82.0,95.0,81.0,36.0,9.0,78.0,87.0,188567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,39.0,84.0,85.0,79.0,72.0,88.0,38.0,82.0,88.0,65.0,84.0,85.0,2.0,74.0,60.0,4.0,2.0,52.0,3.0,69.0,30.0,58.0,85.0,73.0,90.0,44.0,70.0,75.0,62.0,74.0,88.0,2.0,56.0,86.0,184344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,34.0,86.0,80.0,75.0,78.0,85.0,47.0,82.0,88.0,58.0,88.0,75.0,12.0,76.0,58.0,5.0,7.0,53.0,15.0,67.0,28.0,53.0,91.0,74.0,83.0,69.0,46.0,71.0,72.0,79.0,90.0,6.0,56.0,82.0,183907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,42.0,82.0,70.0,79.0,67.0,92.0,48.0,86.0,88.0,43.0,87.0,89.0,8.0,52.0,63.0,15.0,6.0,58.0,15.0,53.0,31.0,47.0,80.0,67.0,88.0,55.0,50.0,76.0,62.0,67.0,89.0,5.0,49.0,85.0,182493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,55.0,91.0,85.0,80.0,65.0,89.0,56.0,66.0,88.0,51.0,85.0,68.0,6.0,79.0,64.0,6.0,15.0,58.0,10.0,68.0,28.0,60.0,85.0,66.0,89.0,64.0,68.0,77.0,62.0,71.0,90.0,5.0,65.0,85.0,178603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,74.0,78.0,84.0,89.0,68.0,54.0,83.0,48.0,88.0,76.0,22.0,52.0,14.0,92.0,83.0,14.0,6.0,70.0,10.0,86.0,28.0,77.0,57.0,69.0,24.0,82.0,67.0,90.0,75.0,70.0,19.0,6.0,84.0,87.0,176635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.0,10.0,61.0,50.0,50.0,63.0,10.0,10.0,31.0,88.0,14.0,12.0,74.0,86.0,30.0,55.0,90.0,88.0,54.0,68.0,10.0,30.0,11.0,43.0,41.0,27.0,13.0,40.0,34.0,65.0,23.0,18.0,82.0,11.0,85.0,167948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,38.0,83.0,81.0,79.0,74.0,82.0,59.0,77.0,88.0,71.0,90.0,93.0,12.0,74.0,74.0,10.0,9.0,68.0,5.0,68.0,32.0,63.0,81.0,74.0,89.0,60.0,71.0,80.0,70.0,74.0,88.0,9.0,61.0,84.0,164240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,87.0,91.0,76.0,84.0,67.0,80.0,86.0,84.0,88.0,85.0,15.0,69.0,15.0,83.0,81.0,12.0,13.0,41.0,10.0,82.0,35.0,90.0,88.0,71.0,20.0,76.0,91.0,88.0,63.0,91.0,27.0,9.0,82.0,86.0,41236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,85.0,86.0,71.0,84.0,86.0,51.0,85.0,47.0,88.0,88.0,29.0,61.0,8.0,83.0,89.0,15.0,10.0,91.0,11.0,92.0,33.0,86.0,67.0,68.0,39.0,80.0,80.0,89.0,87.0,87.0,26.0,5.0,87.0,87.0,9014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89.0,65.0,84.0,79.0,84.0,80.0,54.0,71.0,90.0,87.0,66.0,75.0,79.0,12.0,76.0,83.0,10.0,15.0,90.0,10.0,77.0,26.0,56.0,77.0,94.0,91.0,67.0,54.0,79.0,82.0,72.0,85.0,7.0,49.0,87.0,215914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,58.0,91.0,89.0,90.0,62.0,55.0,71.0,89.0,87.0,58.0,76.0,64.0,12.0,88.0,87.0,10.0,12.0,94.0,15.0,90.0,24.0,64.0,56.0,77.0,86.0,72.0,64.0,88.0,69.0,56.0,79.0,15.0,73.0,87.0,199556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,71.0,85.0,88.0,86.0,76.0,73.0,83.0,75.0,87.0,82.0,66.0,85.0,6.0,86.0,76.0,3.0,5.0,61.0,2.0,86.0,24.0,85.0,91.0,91.0,68.0,78.0,76.0,89.0,72.0,90.0,66.0,4.0,84.0,84.0,195864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,76.0,87.0,86.0,89.0,74.0,52.0,81.0,44.0,87.0,84.0,38.0,57.0,14.0,90.0,78.0,6.0,9.0,82.0,7.0,84.0,25.0,74.0,57.0,90.0,55.0,86.0,67.0,87.0,77.0,80.0,22.0,7.0,85.0,83.0,190460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
89.0,77.0,86.0,82.0,84.0,74.0,81.0,80.0,93.0,87.0,85.0,76.0,82.0,2.0,80.0,75.0,4.0,4.0,77.0,4.0,76.0,30.0,78.0,77.0,91.0,85.0,76.0,81.0,83.0,76.0,86.0,85.0,2.0,76.0,89.0,181872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,83.0,83.0,50.0,78.0,78.0,88.0,92.0,84.0,87.0,78.0,24.0,88.0,5.0,77.0,81.0,10.0,12.0,59.0,13.0,80.0,30.0,84.0,74.0,92.0,48.0,70.0,84.0,80.0,75.0,85.0,27.0,13.0,75.0,91.0,179813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,83.0,81.0,92.0,87.0,64.0,58.0,80.0,67.0,87.0,88.0,52.0,44.0,11.0,87.0,72.0,9.0,14.0,66.0,12.0,84.0,29.0,80.0,63.0,76.0,69.0,81.0,78.0,87.0,67.0,84.0,53.0,5.0,88.0,79.0,168651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,71.0,92.0,79.0,91.0,65.0,54.0,81.0,51.0,87.0,73.0,25.0,66.0,1.0,92.0,92.0,1.0,1.0,89.0,1.0,84.0,31.0,79.0,56.0,78.0,43.0,83.0,73.0,90.0,72.0,71.0,29.0,1.0,82.0,84.0,168542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,10.0,62.0,34.0,36.0,57.0,10.0,12.0,25.0,87.0,19.0,17.0,78.0,86.0,41.0,42.0,87.0,87.0,36.0,69.0,18.0,32.0,12.0,71.0,41.0,22.0,12.0,23.0,24.0,54.0,22.0,13.0,87.0,12.0,83.0,162835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,64.0,86.0,80.0,81.0,73.0,83.0,58.0,72.0,87.0,51.0,86.0,74.0,11.0,62.0,58.0,8.0,10.0,42.0,14.0,59.0,30.0,57.0,83.0,66.0,88.0,57.0,69.0,78.0,55.0,62.0,86.0,15.0,58.0,84.0,152729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,70.0,89.0,86.0,92.0,71.0,54.0,84.0,58.0,87.0,71.0,57.0,52.0,13.0,94.0,79.0,7.0,6.0,84.0,6.0,90.0,33.0,74.0,58.0,58.0,66.0,77.0,71.0,94.0,72.0,65.0,56.0,13.0,80.0,88.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73.0,88.0,86.0,85.0,86.0,69.0,55.0,83.0,58.0,86.0,87.0,25.0,64.0,8.0,84.0,83.0,6.0,10.0,85.0,12.0,90.0,25.0,64.0,59.0,71.0,70.0,72.0,76.0,91.0,74.0,72.0,51.0,15.0,86.0,79.0,197781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
83.0,63.0,79.0,80.0,83.0,86.0,75.0,77.0,69.0,86.0,83.0,81.0,82.0,7.0,78.0,79.0,9.0,5.0,77.0,14.0,79.0,25.0,68.0,69.0,87.0,85.0,82.0,80.0,83.0,86.0,83.0,83.0,15.0,78.0,84.0,197445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,89.0,84.0,68.0,71.0,89.0,87.0,87.0,72.0,86.0,75.0,27.0,71.0,15.0,73.0,62.0,10.0,8.0,47.0,14.0,77.0,24.0,76.0,93.0,80.0,27.0,68.0,82.0,75.0,76.0,88.0,30.0,7.0,72.0,85.0,192505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,55.0,82.0,71.0,81.0,88.0,76.0,70.0,82.0,86.0,72.0,78.0,79.0,7.0,70.0,79.0,5.0,7.0,79.0,9.0,82.0,26.0,68.0,80.0,93.0,82.0,86.0,60.0,81.0,84.0,80.0,84.0,12.0,78.0,86.0,191043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
85.0,60.0,88.0,79.0,88.0,34.0,68.0,77.0,85.0,86.0,54.0,81.0,66.0,8.0,84.0,58.0,13.0,5.0,55.0,13.0,74.0,28.0,44.0,77.0,88.0,86.0,62.0,60.0,80.0,48.0,61.0,80.0,9.0,66.0,82.0,189511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,74.0,85.0,78.0,85.0,77.0,47.0,83.0,55.0,86.0,86.0,24.0,59.0,7.0,87.0,92.0,6.0,12.0,92.0,9.0,88.0,25.0,75.0,61.0,80.0,30.0,77.0,64.0,88.0,88.0,80.0,40.0,14.0,84.0,81.0,189242.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,86.0,83.0,80.0,86.0,90.0,49.0,86.0,49.0,86.0,88.0,30.0,72.0,12.0,86.0,86.0,11.0,12.0,81.0,13.0,86.0,28.0,88.0,67.0,68.0,50.0,80.0,87.0,85.0,86.0,87.0,46.0,13.0,90.0,87.0,188350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90.0,45.0,81.0,81.0,77.0,69.0,82.0,56.0,81.0,86.0,66.0,89.0,81.0,6.0,67.0,60.0,14.0,16.0,50.0,14.0,62.0,28.0,38.0,82.0,76.0,84.0,64.0,60.0,70.0,62.0,86.0,85.0,16.0,63.0,86.0,184087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,88.0,84.0,52.0,67.0,75.0,83.0,88.0,93.0,86.0,73.0,28.0,64.0,13.0,74.0,58.0,11.0,11.0,52.0,12.0,77.0,28.0,81.0,91.0,83.0,40.0,65.0,76.0,83.0,74.0,84.0,34.0,8.0,62.0,86.0,179844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,76.0,85.0,81.0,84.0,76.0,59.0,88.0,88.0,86.0,86.0,78.0,76.0,11.0,76.0,81.0,11.0,11.0,84.0,14.0,80.0,29.0,75.0,76.0,94.0,86.0,73.0,63.0,85.0,80.0,84.0,88.0,8.0,73.0,87.0,178518.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
