,Volleys,SlidingTackle,Reactions,Strength,Vision,GKDiving,Aggression,ShortPassing,GKHandling,GKKicking,Stamina,Curve,Dribbling,LongShots,Agility,StandingTackle,Balance,Marking,BallControl,Composure,LongPassing,SprintSpeed,Name,HeadingAccuracy,Penalties,Overall,Jumping,Finishing,Positioning,Crossing,Interceptions,GKPositioning,Acceleration,GKReflexes,Age,ShotPower
26,73.0,41.0,91.0,70.0,82.0,14.0,63.0,82.0,14.0,9.0,84.0,83.0,89.0,83.0,91.0,43.0,88.0,38.0,88.0,91.0,72.0,91.0,M. Salah,59.0,61.0,88,68.0,90.0,90.0,78.0,55.0,11.0,94.0,14.0,26,77.0
27,53.0,87.0,84.0,89.0,77.0,13.0,87.0,85.0,14.0,16.0,87.0,59.0,69.0,79.0,62.0,90.0,66.0,88.0,78.0,84.0,82.0,65.0,Casemiro,76.0,66.0,88,88.0,59.0,69.0,52.0,87.0,12.0,59.0,12.0,26,86.0
28,90.0,44.0,85.0,68.0,89.0,15.0,64.0,89.0,15.0,15.0,70.0,89.0,85.0,92.0,83.0,41.0,76.0,52.0,90.0,87.0,83.0,67.0,J. Rodríguez,62.0,81.0,88,54.0,83.0,80.0,90.0,55.0,5.0,73.0,14.0,26,86.0
29,74.0,22.0,83.0,44.0,87.0,8.0,34.0,85.0,4.0,14.0,75.0,87.0,90.0,84.0,94.0,24.0,93.0,51.0,93.0,83.0,78.0,86.0,L. Insigne,56.0,61.0,88,53.0,77.0,83.0,86.0,26.0,9.0,94.0,10.0,27,75.0
30,65.0,51.0,77.0,59.0,89.0,10.0,58.0,89.0,8.0,12.0,70.0,88.0,94.0,87.0,87.0,64.0,90.0,60.0,95.0,86.0,83.0,69.0,Isco,55.0,76.0,88,64.0,79.0,78.0,75.0,64.0,15.0,75.0,6.0,26,69.0
31,77.0,22.0,88.0,58.0,91.0,9.0,46.0,91.0,14.0,7.0,92.0,86.0,84.0,89.0,79.0,57.0,81.0,59.0,91.0,88.0,88.0,73.0,C. Eriksen,52.0,67.0,88,50.0,80.0,83.0,88.0,56.0,7.0,75.0,6.0,26,84.0
32,75.0,47.0,83.0,61.0,90.0,12.0,59.0,88.0,7.0,9.0,79.0,91.0,91.0,93.0,92.0,54.0,93.0,55.0,92.0,85.0,83.0,75.0,Coutinho,48.0,70.0,88,59.0,79.0,84.0,79.0,49.0,14.0,89.0,6.0,26,83.0
33,86.0,36.0,87.0,76.0,77.0,6.0,43.0,77.0,9.0,15.0,76.0,80.0,79.0,79.0,76.0,25.0,70.0,27.0,82.0,86.0,64.0,95.0,P. Aubameyang,79.0,76.0,88,79.0,88.0,90.0,77.0,48.0,9.0,93.0,9.0,29,82.0
34,60.0,88.0,87.0,84.0,79.0,15.0,69.0,81.0,6.0,10.0,66.0,65.0,68.0,51.0,63.0,90.0,60.0,88.0,81.0,91.0,85.0,64.0,M. Hummels,87.0,68.0,88,68.0,55.0,56.0,64.0,92.0,5.0,53.0,6.0,29,71.0
35,54.0,86.0,88.0,78.0,82.0,12.0,84.0,84.0,5.0,5.0,91.0,85.0,90.0,70.0,86.0,85.0,86.0,71.0,92.0,86.0,76.0,82.0,Marcelo,75.0,59.0,88,76.0,70.0,85.0,90.0,85.0,5.0,83.0,9.0,30,83.0
36,85.0,52.0,85.0,80.0,79.0,15.0,65.0,85.0,15.0,11.0,75.0,90.0,87.0,91.0,82.0,55.0,65.0,54.0,85.0,86.0,80.0,95.0,G. Bale,84.0,76.0,88,87.0,86.0,85.0,87.0,59.0,5.0,94.0,6.0,28,92.0
37,11.0,18.0,85.0,43.0,30.0,88.0,31.0,50.0,84.0,68.0,41.0,11.0,10.0,14.0,55.0,10.0,54.0,29.0,34.0,65.0,50.0,62.0,H. Lloris,10.0,40.0,88,74.0,10.0,10.0,13.0,27.0,83.0,65.0,92.0,31,23.0
38,90.0,18.0,86.0,85.0,74.0,5.0,50.0,75.0,12.0,7.0,70.0,74.0,84.0,80.0,75.0,22.0,69.0,35.0,85.0,86.0,59.0,73.0,G. Higuaín,80.0,70.0,88,79.0,92.0,92.0,68.0,20.0,5.0,73.0,10.0,30,86.0
39,63.0,85.0,82.0,82.0,72.0,9.0,76.0,80.0,12.0,5.0,74.0,61.0,62.0,68.0,68.0,89.0,68.0,88.0,80.0,81.0,80.0,72.0,Thiago Silva,81.0,60.0,88,90.0,38.0,59.0,60.0,89.0,9.0,70.0,10.0,33,71.0
40,12.0,13.0,83.0,71.0,41.0,87.0,25.0,36.0,86.0,69.0,41.0,12.0,12.0,19.0,47.0,10.0,36.0,25.0,16.0,69.0,34.0,55.0,S. Handanovič,10.0,23.0,88,78.0,10.0,12.0,12.0,22.0,89.0,51.0,89.0,33,22.0
41,17.0,11.0,79.0,69.0,50.0,88.0,38.0,37.0,87.0,74.0,39.0,20.0,26.0,13.0,55.0,11.0,49.0,13.0,28.0,70.0,35.0,43.0,G. Buffon,13.0,22.0,88,75.0,15.0,12.0,13.0,28.0,90.0,49.0,83.0,40,39.0
42,70.0,86.0,82.0,84.0,58.0,15.0,81.0,81.0,10.0,14.0,78.0,72.0,69.0,74.0,68.0,89.0,66.0,90.0,77.0,82.0,73.0,73.0,S. Umtiti,79.0,61.0,87,89.0,51.0,58.0,69.0,87.0,12.0,71.0,15.0,24,83.0
43,85.0,20.0,88.0,76.0,64.0,13.0,56.0,73.0,9.0,5.0,72.0,58.0,77.0,70.0,76.0,24.0,76.0,45.0,81.0,85.0,54.0,78.0,M. Icardi,91.0,82.0,87,94.0,91.0,92.0,46.0,22.0,7.0,77.0,9.0,25,84.0
44,14.0,86.0,80.0,94.0,43.0,7.0,87.0,66.0,11.0,7.0,71.0,28.0,66.0,15.0,50.0,88.0,40.0,91.0,60.0,78.0,56.0,75.0,K. Koulibaly,81.0,33.0,87,81.0,19.0,24.0,30.0,88.0,13.0,68.0,5.0,27,55.0
45,85.0,68.0,81.0,89.0,87.0,5.0,78.0,86.0,6.0,2.0,88.0,84.0,87.0,81.0,74.0,70.0,64.0,66.0,90.0,87.0,90.0,79.0,P. Pogba,73.0,81.0,87,83.0,73.0,81.0,80.0,66.0,4.0,71.0,3.0,25,90.0
46,11.0,14.0,84.0,75.0,68.0,90.0,32.0,30.0,81.0,75.0,39.0,11.0,16.0,13.0,60.0,14.0,61.0,28.0,19.0,67.0,37.0,53.0,K. Navas,11.0,25.0,87,74.0,15.0,16.0,11.0,20.0,82.0,54.0,90.0,31,21.0
47,79.0,30.0,86.0,94.0,76.0,8.0,75.0,77.0,15.0,14.0,84.0,74.0,80.0,74.0,60.0,30.0,46.0,30.0,72.0,83.0,73.0,90.0,R. Lukaku,86.0,78.0,87,71.0,87.0,89.0,78.0,27.0,7.0,77.0,10.0,25,88.0
48,87.0,32.0,87.0,76.0,65.0,6.0,77.0,74.0,8.0,15.0,80.0,70.0,83.0,80.0,77.0,33.0,63.0,34.0,83.0,81.0,49.0,85.0,C. Immobile,81.0,78.0,87,77.0,90.0,91.0,55.0,40.0,12.0,78.0,6.0,28,86.0
49,60.0,85.0,83.0,61.0,70.0,13.0,75.0,84.0,15.0,13.0,91.0,80.0,80.0,66.0,90.0,84.0,85.0,72.0,84.0,79.0,74.0,93.0,Jordi Alba,70.0,59.0,87,81.0,73.0,79.0,87.0,84.0,6.0,93.0,13.0,29,64.0
50,70.0,40.0,88.0,42.0,83.0,7.0,59.0,82.0,10.0,8.0,75.0,82.0,91.0,81.0,94.0,40.0,92.0,25.0,89.0,81.0,74.0,85.0,D. Mertens,35.0,79.0,87,60.0,86.0,87.0,77.0,36.0,10.0,93.0,4.0,31,80.0
51,52.0,88.0,84.0,79.0,68.0,6.0,84.0,79.0,10.0,9.0,75.0,58.0,71.0,66.0,61.0,87.0,60.0,90.0,76.0,83.0,74.0,65.0,J. Vertonghen,80.0,66.0,87,85.0,56.0,60.0,68.0,89.0,12.0,61.0,7.0,31,80.0
52,79.0,62.0,88.0,67.0,86.0,8.0,56.0,88.0,6.0,4.0,84.0,80.0,86.0,83.0,76.0,73.0,66.0,75.0,87.0,84.0,83.0,68.0,M. Hamšík,74.0,70.0,87,71.0,79.0,88.0,78.0,72.0,14.0,69.0,14.0,30,82.0
53,80.0,70.0,77.0,66.0,86.0,14.0,67.0,87.0,11.0,12.0,84.0,88.0,84.0,90.0,72.0,74.0,66.0,72.0,87.0,81.0,90.0,59.0,I. Rakitić,58.0,82.0,87,39.0,83.0,79.0,84.0,75.0,5.0,66.0,9.0,30,84.0
54,57.0,84.0,84.0,83.0,62.0,10.0,72.0,81.0,11.0,14.0,65.0,58.0,59.0,51.0,58.0,86.0,36.0,91.0,78.0,86.0,80.0,60.0,Piqué,83.0,69.0,87,74.0,64.0,58.0,57.0,88.0,15.0,49.0,8.0,31,62.0
55,85.0,35.0,81.0,70.0,82.0,8.0,61.0,79.0,12.0,9.0,79.0,82.0,88.0,78.0,88.0,32.0,81.0,36.0,85.0,78.0,64.0,96.0,L. Sané,72.0,71.0,86,64.0,81.0,84.0,83.0,34.0,9.0,93.0,14.0,22,86.0
56,69.0,35.0,82.0,48.0,86.0,9.0,58.0,85.0,10.0,14.0,78.0,83.0,92.0,72.0,90.0,44.0,88.0,49.0,91.0,85.0,79.0,74.0,Bernardo Silva,51.0,68.0,86,50.0,75.0,83.0,85.0,49.0,12.0,84.0,9.0,23,70.0
57,18.0,8.0,86.0,68.0,67.0,85.0,35.0,56.0,80.0,91.0,41.0,15.0,23.0,18.0,60.0,15.0,48.0,28.0,37.0,70.0,58.0,63.0,Ederson,14.0,17.0,86,58.0,14.0,20.0,20.0,25.0,82.0,64.0,87.0,24,42.0
58,71.0,38.0,86.0,67.0,82.0,10.0,73.0,79.0,10.0,15.0,84.0,74.0,87.0,74.0,91.0,42.0,86.0,42.0,86.0,80.0,71.0,93.0,S. Mané,62.0,71.0,86,75.0,84.0,87.0,73.0,35.0,7.0,95.0,14.0,26,82.0
59,45.0,84.0,85.0,92.0,59.0,13.0,81.0,76.0,10.0,13.0,71.0,60.0,70.0,64.0,61.0,89.0,49.0,88.0,73.0,83.0,78.0,77.0,V. van Dijk,82.0,62.0,86,85.0,52.0,41.0,53.0,86.0,11.0,74.0,11.0,26,81.0
60,67.0,54.0,87.0,52.0,77.0,15.0,38.0,84.0,12.0,12.0,78.0,70.0,88.0,73.0,93.0,58.0,93.0,47.0,87.0,77.0,69.0,92.0,R. Sterling,38.0,69.0,86,57.0,77.0,87.0,77.0,30.0,15.0,95.0,9.0,23,73.0
61,81.0,42.0,86.0,74.0,85.0,8.0,73.0,86.0,11.0,9.0,90.0,80.0,87.0,76.0,80.0,64.0,81.0,60.0,88.0,87.0,75.0,77.0,Roberto Firmino,77.0,72.0,86,81.0,87.0,87.0,72.0,58.0,6.0,78.0,10.0,26,81.0
62,42.0,87.0,83.0,84.0,56.0,11.0,77.0,75.0,11.0,9.0,73.0,46.0,57.0,53.0,63.0,88.0,40.0,87.0,77.0,82.0,76.0,85.0,R. Varane,83.0,43.0,86,79.0,40.0,44.0,36.0,82.0,5.0,83.0,14.0,25,52.0
63,64.0,80.0,85.0,52.0,87.0,12.0,89.0,90.0,12.0,15.0,77.0,73.0,90.0,58.0,87.0,83.0,94.0,78.0,88.0,93.0,89.0,62.0,M. Verratti,55.0,64.0,86,64.0,60.0,71.0,72.0,84.0,15.0,69.0,10.0,25,56.0
64,68.0,84.0,84.0,79.0,70.0,7.0,82.0,81.0,7.0,9.0,92.0,78.0,80.0,72.0,79.0,84.0,78.0,81.0,81.0,82.0,71.0,86.0,Alex Sandro,76.0,60.0,86,79.0,55.0,70.0,84.0,82.0,12.0,83.0,5.0,27,80.0
65,76.0,34.0,84.0,63.0,84.0,13.0,55.0,84.0,15.0,9.0,78.0,84.0,92.0,80.0,93.0,38.0,91.0,45.0,91.0,84.0,68.0,93.0,Douglas Costa,50.0,77.0,86,61.0,67.0,76.0,84.0,48.0,12.0,97.0,5.0,27,86.0
66,84.0,44.0,91.0,68.0,85.0,6.0,57.0,83.0,7.0,11.0,87.0,81.0,75.0,80.0,75.0,41.0,72.0,44.0,82.0,83.0,72.0,75.0,T. Müller,82.0,60.0,86,81.0,87.0,92.0,79.0,58.0,14.0,73.0,14.0,28,78.0
67,90.0,65.0,84.0,59.0,86.0,6.0,57.0,90.0,11.0,7.0,75.0,85.0,90.0,79.0,90.0,63.0,86.0,67.0,90.0,85.0,87.0,69.0,Thiago,54.0,75.0,86,75.0,69.0,79.0,72.0,78.0,9.0,78.0,13.0,27,75.0
68,90.0,45.0,87.0,67.0,86.0,12.0,49.0,86.0,12.0,13.0,73.0,89.0,87.0,86.0,86.0,36.0,81.0,47.0,86.0,84.0,75.0,85.0,M. Reus,49.0,89.0,86,70.0,87.0,88.0,79.0,50.0,13.0,86.0,11.0,29,88.0
69,51.0,86.0,88.0,71.0,74.0,13.0,82.0,81.0,9.0,10.0,87.0,68.0,69.0,60.0,72.0,90.0,73.0,88.0,77.0,78.0,80.0,76.0,Azpilicueta,76.0,66.0,86,76.0,46.0,62.0,81.0,89.0,6.0,76.0,5.0,28,68.0
70,58.0,80.0,84.0,83.0,74.0,2.0,82.0,77.0,2.0,3.0,71.0,56.0,69.0,65.0,60.0,86.0,52.0,90.0,75.0,86.0,85.0,65.0,L. Bonucci,86.0,70.0,86,85.0,48.0,38.0,44.0,90.0,2.0,57.0,4.0,31,74.0
71,38.0,86.0,86.0,79.0,67.0,16.0,80.0,79.0,6.0,14.0,74.0,63.0,62.0,65.0,60.0,91.0,50.0,90.0,74.0,81.0,85.0,66.0,T. Alderweireld,82.0,58.0,86,84.0,45.0,58.0,64.0,87.0,16.0,61.0,14.0,29,78.0
72,72.0,70.0,84.0,66.0,88.0,7.0,70.0,89.0,7.0,13.0,78.0,86.0,86.0,82.0,77.0,74.0,79.0,75.0,89.0,86.0,85.0,66.0,M. Pjanić,60.0,79.0,86,61.0,60.0,70.0,80.0,78.0,7.0,66.0,8.0,28,78.0
73,44.0,85.0,82.0,91.0,47.0,7.0,86.0,65.0,4.0,8.0,69.0,34.0,64.0,24.0,59.0,87.0,53.0,89.0,64.0,82.0,65.0,75.0,M. Benatia,83.0,41.0,86,85.0,47.0,38.0,45.0,86.0,7.0,65.0,11.0,31,66.0
74,80.0,19.0,84.0,57.0,91.0,6.0,48.0,89.0,14.0,10.0,69.0,84.0,84.0,75.0,79.0,16.0,70.0,24.0,90.0,82.0,82.0,69.0,M. Özil,54.0,67.0,86,48.0,73.0,83.0,83.0,24.0,6.0,72.0,14.0,29,70.0
75,74.0,80.0,86.0,76.0,75.0,12.0,87.0,85.0,11.0,5.0,79.0,70.0,77.0,78.0,72.0,85.0,78.0,85.0,82.0,79.0,81.0,67.0,Fernandinho,63.0,61.0,86,76.0,69.0,70.0,68.0,88.0,13.0,68.0,7.0,33,83.0
76,74.0,56.0,86.0,58.0,93.0,6.0,58.0,90.0,13.0,6.0,55.0,80.0,90.0,71.0,79.0,57.0,84.0,67.0,92.0,89.0,85.0,67.0,Iniesta,54.0,71.0,86,47.0,70.0,81.0,77.0,66.0,13.0,70.0,7.0,34,65.0
77,40.0,82.0,81.0,83.0,57.0,10.0,86.0,70.0,13.0,12.0,77.0,34.0,59.0,30.0,48.0,88.0,48.0,92.0,67.0,80.0,68.0,73.0,M. Škriniar,80.0,56.0,85,78.0,42.0,30.0,40.0,86.0,8.0,70.0,12.0,23,50.0
78,74.0,72.0,80.0,88.0,85.0,7.0,73.0,85.0,10.0,7.0,85.0,78.0,86.0,80.0,66.0,77.0,59.0,75.0,87.0,82.0,85.0,70.0,S. Milinković-Savić,86.0,56.0,85,85.0,80.0,79.0,64.0,78.0,16.0,68.0,7.0,23,83.0
79,79.0,39.0,82.0,61.0,84.0,13.0,45.0,83.0,9.0,6.0,76.0,83.0,86.0,88.0,79.0,42.0,76.0,40.0,85.0,83.0,82.0,82.0,Marco Asensio,50.0,62.0,85,58.0,82.0,82.0,82.0,45.0,12.0,85.0,10.0,22,86.0
80,77.0,25.0,80.0,82.0,81.0,15.0,73.0,83.0,9.0,8.0,80.0,81.0,90.0,82.0,90.0,37.0,91.0,31.0,89.0,89.0,75.0,79.0,N. Fekir,49.0,81.0,85,69.0,82.0,81.0,83.0,28.0,14.0,79.0,15.0,24,84.0
81,20.0,16.0,84.0,78.0,66.0,83.0,27.0,45.0,81.0,85.0,32.0,19.0,27.0,14.0,40.0,19.0,37.0,15.0,30.0,65.0,44.0,45.0,Alisson,19.0,23.0,85,52.0,13.0,13.0,17.0,11.0,84.0,54.0,88.0,25,21.0
82,61.0,79.0,85.0,65.0,79.0,8.0,74.0,85.0,15.0,7.0,85.0,81.0,80.0,69.0,84.0,81.0,83.0,75.0,85.0,82.0,80.0,68.0,J. Kimmich,74.0,44.0,85,79.0,66.0,80.0,90.0,79.0,15.0,78.0,15.0,23,75.0
83,76.0,76.0,82.0,77.0,82.0,7.0,69.0,85.0,13.0,12.0,86.0,72.0,83.0,79.0,76.0,79.0,69.0,77.0,85.0,83.0,83.0,73.0,Saúl,83.0,55.0,85,79.0,78.0,82.0,69.0,78.0,10.0,74.0,9.0,23,78.0
84,72.0,18.0,77.0,54.0,81.0,15.0,48.0,82.0,9.0,13.0,76.0,84.0,91.0,81.0,93.0,31.0,88.0,45.0,90.0,86.0,76.0,83.0,R. Mahrez,48.0,73.0,85,61.0,80.0,80.0,81.0,39.0,11.0,88.0,6.0,27,79.0
85,68.0,80.0,84.0,71.0,77.0,5.0,69.0,82.0,7.0,14.0,87.0,78.0,79.0,82.0,79.0,82.0,77.0,80.0,83.0,79.0,80.0,86.0,D. Alaba,75.0,80.0,85,82.0,63.0,76.0,81.0,84.0,15.0,79.0,9.0,26,83.0
86,56.0,51.0,85.0,79.0,87.0,14.0,71.0,90.0,12.0,5.0,90.0,85.0,82.0,81.0,74.0,69.0,78.0,80.0,86.0,78.0,89.0,68.0,Koke,61.0,59.0,85,61.0,72.0,84.0,86.0,66.0,10.0,71.0,13.0,26,84.0
87,81.0,30.0,85.0,73.0,76.0,11.0,70.0,80.0,6.0,9.0,79.0,74.0,85.0,75.0,85.0,42.0,85.0,29.0,83.0,85.0,59.0,84.0,A. Lacazette,73.0,84.0,85,76.0,88.0,86.0,64.0,42.0,5.0,81.0,6.0,27,83.0
88,16.0,89.0,85.0,82.0,22.0,8.0,86.0,60.0,6.0,8.0,76.0,30.0,54.0,12.0,68.0,87.0,59.0,86.0,65.0,79.0,61.0,85.0,K. Manolas,80.0,26.0,85,86.0,10.0,25.0,27.0,86.0,15.0,80.0,12.0,27,40.0
89,57.0,84.0,79.0,80.0,53.0,12.0,91.0,75.0,5.0,8.0,67.0,50.0,51.0,56.0,64.0,85.0,62.0,83.0,70.0,80.0,72.0,61.0,N. Otamendi,85.0,45.0,85,92.0,54.0,51.0,52.0,84.0,11.0,57.0,12.0,30,69.0
90,72.0,60.0,78.0,72.0,86.0,5.0,58.0,90.0,9.0,12.0,78.0,89.0,78.0,82.0,66.0,68.0,72.0,69.0,84.0,78.0,87.0,43.0,Parejo,61.0,83.0,85,51.0,79.0,81.0,84.0,81.0,14.0,51.0,8.0,29,78.0
91,75.0,73.0,84.0,81.0,78.0,16.0,81.0,84.0,16.0,11.0,92.0,66.0,82.0,80.0,69.0,81.0,66.0,75.0,84.0,80.0,80.0,73.0,Paulinho,85.0,71.0,85,90.0,81.0,84.0,64.0,81.0,6.0,73.0,8.0,29,83.0
92,14.0,12.0,82.0,65.0,48.0,85.0,40.0,32.0,81.0,71.0,45.0,16.0,11.0,14.0,55.0,13.0,51.0,20.0,22.0,65.0,36.0,47.0,W. Szczęsny,16.0,18.0,85,71.0,12.0,14.0,12.0,15.0,85.0,51.0,87.0,28,15.0
