,Volleys,SlidingTackle,Reactions,Strength,Vision,GKDiving,Aggression,ShortPassing,GKHandling,GKKicking,Stamina,Curve,Dribbling,LongShots,Agility,StandingTackle,Balance,Marking,BallControl,Composure,LongPassing,SprintSpeed,Name,HeadingAccuracy,Penalties,Overall,Jumping,Finishing,Positioning,Crossing,Interceptions,GKPositioning,Acceleration,GKReflexes,Age,ShotPower
48,64,51,79,59,84,10,58,86,8,12,71,86,90,87,83,73,85,25,91,86,85,69,Isco,55,76,86,64,88,83,72,70,15,74,6,25,72
49,68,83,84,69,78,5,69,83,7,14,87,78,79,83,79,83,77,81,83,79,80,86,D. Alaba,75,80,86,82,63,77,82,85,15,86,9,25,83
50,76,30,85,93,73,8,72,71,15,14,80,72,77,75,62,30,47,27,75,84,68,89,R. Lukaku,87,82,86,71,89,87,68,27,7,76,10,24,88
51,68,84,86,80,70,7,82,81,7,9,93,78,82,72,79,84,79,78,81,82,71,88,Alex Sandro,76,60,86,79,55,70,86,82,12,84,5,26,80
52,83,44,92,67,81,6,57,81,7,11,90,81,75,77,76,41,72,31,82,83,68,78,T. Müller,82,60,86,81,87,93,77,58,14,76,14,27,77
53,44,80,82,77,84,5,85,88,8,13,88,66,74,54,58,85,55,81,80,88,79,34,Sergio Busquets,68,60,86,66,60,77,62,86,9,48,13,28,61
54,75,40,81,61,87,12,55,85,7,9,80,84,88,86,92,44,92,24,88,85,78,77,Coutinho,47,64,86,59,74,83,77,30,14,88,6,25,80
55,88,46,87,67,86,12,49,86,12,13,68,90,86,88,86,36,81,30,85,83,80,90,M. Reus,49,87,86,72,86,86,80,50,13,86,11,28,87
56,38,85,86,82,67,16,81,77,6,14,76,63,62,66,60,90,50,89,70,81,81,69,T. Alderweireld,82,60,86,81,45,56,64,84,16,62,14,28,86
57,64,84,79,81,69,11,86,79,12,10,76,70,66,71,72,85,56,80,79,78,78,71,David Luiz,83,75,86,80,55,54,68,87,7,68,14,30,77
58,81,34,86,91,74,11,93,67,13,12,83,62,77,73,58,39,52,28,83,84,52,75,Diego Costa,83,76,86,64,88,88,65,40,8,74,11,28,84
59,75,88,87,76,76,11,88,84,11,14,94,73,80,86,81,86,84,78,85,85,81,76,R. Nainggolan,59,63,86,76,76,88,73,86,8,80,11,29,84
60,61,87,84,84,74,5,91,75,12,9,64,54,62,63,54,87,58,84,71,83,74,50,Javi Martínez,90,52,86,83,53,57,60,86,11,49,8,28,76
61,70,40,85,42,82,7,59,81,10,8,75,81,89,81,94,40,92,30,88,81,74,87,D. Mertens,35,78,86,60,85,85,77,36,10,93,4,30,80
62,46,86,81,86,52,6,91,64,8,5,74,36,58,48,62,90,68,88,58,82,64,84,Sokratis,87,33,86,87,44,50,47,80,12,71,5,29,79
63,51,86,82,80,58,12,83,70,6,10,65,32,65,41,61,90,57,89,72,84,69,74,Miranda,83,49,86,82,43,43,48,88,13,67,12,32,70
64,79,12,83,78,85,13,65,86,11,5,73,79,82,77,77,15,60,13,86,82,47,78,K. Benzema,78,82,86,70,87,87,75,22,5,77,7,29,83
65,81,62,81,64,91,6,45,91,10,8,80,77,80,75,65,63,77,60,86,92,90,62,Cesc Fàbregas,74,80,86,68,76,78,85,50,15,65,15,30,77
66,80,26,86,60,86,15,52,86,6,9,64,83,90,75,88,25,91,13,90,86,75,79,F. Ribéry,41,78,86,34,76,81,81,36,7,85,10,34,76
67,23,87,83,84,48,8,94,70,15,5,62,44,58,56,63,86,49,86,62,77,61,70,Pepe,80,57,86,76,46,40,46,86,9,65,10,34,63
68,17,12,84,65,53,82,17,35,87,76,32,13,12,11,49,13,34,11,22,70,33,44,P. Čech,19,23,86,51,12,13,19,23,83,40,81,35,21
69,68,26,83,59,74,9,61,79,11,9,73,81,91,75,91,39,71,19,86,75,74,89,Y. Carrasco,53,74,85,68,79,82,80,18,10,87,10,23,84
70,42,85,81,85,56,11,77,75,11,9,68,46,57,53,58,86,47,84,77,82,76,81,R. Varane,83,43,85,80,40,44,36,82,5,77,14,24,52
71,53,86,83,85,76,13,87,82,14,16,85,59,69,77,66,87,57,83,78,86,84,61,Casemiro,74,66,85,87,59,66,52,86,12,63,12,25,86
72,74,22,80,44,87,8,34,83,4,14,75,83,88,80,96,24,93,16,90,78,73,86,L. Insigne,56,61,85,53,73,83,83,26,9,94,10,26,70
73,82,30,85,79,74,11,70,79,6,9,80,74,85,76,87,42,84,23,84,86,59,87,A. Lacazette,72,84,85,76,87,87,64,40,5,84,6,26,81
74,11,14,82,75,54,87,32,30,82,72,39,11,16,13,60,14,61,12,19,49,37,53,K. Navas,11,25,85,74,15,16,11,20,80,54,85,30,21
75,81,55,82,63,85,5,69,84,11,14,86,83,87,75,89,53,85,49,87,79,72,84,H. Mkhitaryan,53,72,85,71,77,82,79,64,5,88,7,28,87
76,13,13,82,80,52,84,31,24,79,79,32,24,11,14,42,14,37,15,19,65,26,54,D. Subašić,13,23,85,75,10,15,11,20,85,51,87,32,24
77,10,18,81,68,53,85,28,37,84,74,43,9,16,14,52,15,44,8,22,62,33,52,B. Leno,13,23,85,73,9,7,9,22,85,46,83,25,23
78,14,10,82,79,57,84,43,30,83,87,35,18,17,10,37,13,43,10,18,62,38,50,M. ter Stegen,11,25,85,79,14,11,15,22,81,38,86,25,22
79,17,83,79,90,23,10,86,63,14,5,72,35,51,20,34,87,55,85,59,79,59,58,K. Glik,85,39,85,82,27,24,29,87,8,53,10,29,57
80,60,83,82,60,68,13,75,79,15,13,90,77,80,66,90,84,86,81,83,75,70,93,Jordi Alba,63,59,85,81,73,77,82,83,6,93,13,28,64
81,75,64,87,74,87,11,68,88,14,5,71,81,87,74,83,67,81,57,88,86,83,70,I. Gündoğan,49,76,85,62,72,79,74,79,5,73,13,26,77
82,51,87,86,73,68,13,80,80,9,10,88,66,69,60,75,88,73,87,79,78,74,79,Azpilicueta,76,66,85,76,46,62,78,85,6,78,5,27,68
83,77,56,80,60,81,10,73,83,7,11,78,78,86,77,92,59,79,37,85,82,79,86,A. Di María,53,73,85,72,74,82,85,38,12,86,11,29,83
84,72,66,84,65,88,7,68,89,7,13,78,86,86,82,79,70,79,62,89,84,85,74,M. Pjanić,60,79,85,61,61,70,80,74,7,74,8,27,78
85,76,80,86,70,84,4,78,87,3,4,81,78,84,82,81,78,79,72,85,84,85,78,C. Marchisio,68,78,85,68,61,80,76,80,2,78,4,31,82
86,52,86,82,81,68,6,83,79,10,9,79,58,69,68,62,86,55,84,74,81,74,66,J. Vertonghen,81,68,85,83,56,60,68,86,12,68,7,30,86
87,72,81,84,78,75,8,85,84,11,5,94,65,73,66,76,84,79,83,77,82,79,78,B. Matuidi,73,56,85,84,65,68,75,85,10,79,14,30,74
88,13,11,78,76,49,82,31,33,84,77,37,17,12,11,51,12,55,11,15,57,34,50,S. Ruffier,12,25,85,72,11,12,11,25,85,45,87,30,21
89,56,86,83,74,70,11,81,78,15,9,91,74,77,60,74,83,60,85,81,88,77,82,Filipe Luís,68,65,85,63,59,71,84,82,9,75,5,31,71
90,46,84,84,88,59,10,87,72,9,5,74,61,63,55,60,85,42,84,68,81,66,64,V. Kompany,84,63,85,71,45,41,61,80,8,61,6,31,75
91,35,88,80,87,62,4,70,65,2,4,46,50,64,39,51,90,64,90,65,82,65,76,A. Barzagli,72,60,85,85,21,28,40,92,2,64,4,36,54
92,42,85,78,85,54,14,87,72,14,10,78,46,63,48,63,85,63,82,68,74,56,80,E. Bailly,81,46,84,84,33,47,51,85,9,75,8,23,55
93,75,39,78,61,83,13,45,86,9,6,73,83,83,87,78,42,76,29,86,82,81,77,Marco Asensio,50,62,84,57,82,72,79,45,12,79,10,21,84
94,66,35,84,54,85,9,58,84,10,14,80,79,91,64,88,44,86,46,89,84,78,78,Bernardo Silva,51,64,84,53,76,77,79,49,12,85,9,22,72
95,40,85,82,84,52,10,72,73,11,5,71,62,55,47,49,88,55,86,71,74,78,70,A. Laporte,85,35,84,77,45,54,58,85,14,68,5,23,70
96,76,57,85,71,83,7,84,83,6,9,89,71,83,79,74,63,62,60,85,86,76,76,D. Alli,75,68,84,69,84,86,68,67,11,77,8,21,77
97,68,38,80,72,78,10,73,77,10,15,82,74,86,69,89,35,85,33,84,78,71,92,S. Mané,53,71,84,75,83,84,72,31,7,94,14,25,77
98,34,86,81,75,57,13,81,81,13,15,84,72,76,36,82,85,79,85,83,74,71,86,Carvajal,65,45,84,76,41,61,83,82,9,76,15,25,64
99,84,26,83,67,84,11,48,84,13,5,68,78,88,81,81,35,75,25,87,81,77,79,J. Draxler,65,63,84,76,78,79,83,36,13,76,8,23,86
100,81,21,83,74,64,13,55,73,9,5,70,58,74,70,74,21,76,17,77,82,54,80,M. Icardi,84,78,84,92,89,89,46,22,7,75,9,24,81
101,81,20,81,82,76,4,54,78,5,4,70,76,83,78,62,14,56,14,84,79,51,86,Morata,79,72,84,79,82,83,73,24,4,78,5,24,80
102,14,85,80,93,34,7,87,59,11,7,73,28,54,15,50,87,40,85,59,78,48,76,K. Koulibaly,79,33,84,77,19,24,30,86,13,69,5,26,55
103,14,12,81,67,55,83,41,35,81,83,31,12,20,17,50,13,31,11,22,20,32,51,T. Horn,14,21,84,64,13,15,19,22,82,45,86,24,22
104,56,51,84,75,89,14,71,86,12,5,81,85,80,81,77,66,78,63,86,75,85,69,Koke,61,59,84,61,71,80,84,64,10,72,13,25,84
105,16,87,81,84,22,8,86,60,6,8,78,30,54,12,68,86,60,88,65,75,61,81,K. Manolas,80,26,84,86,10,25,27,85,15,78,12,26,43
106,51,85,82,81,55,11,79,77,9,15,74,55,53,52,66,83,69,82,70,74,69,69,S. Mustafi,81,54,84,84,58,50,50,85,10,64,6,25,66
107,69,76,85,70,84,9,86,86,12,15,87,80,81,72,84,78,82,80,86,84,80,70,Ander Herrera,60,79,84,63,71,78,74,86,9,76,8,27,72
108,63,75,84,83,84,7,86,86,12,11,82,75,76,78,65,83,68,72,85,85,83,68,K. Strootman,68,77,84,53,68,78,74,84,6,65,7,27,85
109,70,31,84,56,77,5,56,83,11,12,78,81,84,78,84,32,82,30,87,78,70,80,Pedro,55,66,84,67,81,84,78,49,15,84,9,29,71
110,13,16,80,74,50,84,35,37,82,73,36,13,16,14,51,13,52,14,23,58,24,52,R. Bürki,17,20,84,74,8,10,15,18,80,44,85,26,22
111,48,85,84,77,83,13,79,87,10,9,76,72,75,81,53,84,59,70,83,86,86,41,Bruno,61,75,84,66,66,69,60,85,11,42,8,33,84
112,80,45,80,75,78,6,59,78,7,10,86,73,83,80,78,45,67,26,83,80,72,87,I. Perišić,78,76,84,82,79,84,84,42,9,81,6,28,83
113,77,16,83,82,70,9,51,77,11,13,70,65,76,73,57,28,36,11,80,79,72,61,E. Džeko,84,67,84,66,87,89,63,50,15,67,15,31,86
114,59,51,83,62,83,14,44,82,12,13,87,82,87,81,89,58,81,43,86,79,77,86,Willian,29,70,84,46,77,80,77,55,7,91,13,28,71
115,76,78,86,89,82,11,82,85,9,5,78,68,78,78,59,82,52,76,81,84,81,68,S. Khedira,76,69,84,68,69,80,72,86,15,60,8,30,82
116,11,10,84,79,42,83,36,25,86,52,32,18,15,9,39,12,36,12,24,61,26,47,R. Fährmann,15,21,84,72,11,11,14,23,85,38,87,28,24
117,22,14,79,73,46,86,20,39,83,76,43,23,15,23,62,15,58,12,14,39,39,54,Sergio Asenjo,13,15,84,73,14,12,24,22,82,59,85,28,24
118,71,21,84,43,87,9,52,86,10,14,75,84,82,70,85,28,89,25,87,85,77,63,Juan Mata,59,81,84,72,79,83,84,39,5,71,8,29,75
119,31,84,78,89,47,7,82,65,4,8,68,34,64,24,59,86,51,86,65,78,65,76,M. Benatia,80,41,84,82,45,38,45,84,7,72,11,30,59
120,79,39,76,76,87,11,57,86,15,9,73,90,89,83,79,36,81,29,90,86,84,72,D. Payet,59,76,84,48,76,79,86,37,14,79,12,30,78
121,84,19,82,75,68,10,75,78,13,6,68,83,74,80,85,42,75,16,82,87,58,66,Falcao,90,84,84,92,87,85,55,41,9,73,5,31,79
122,35,84,82,76,56,13,88,76,11,9,75,22,62,47,68,87,62,83,67,75,69,76,L. Koscielny,81,51,84,82,32,39,52,86,11,74,7,31,54
123,47,84,85,80,56,5,84,65,12,9,69,48,58,66,62,85,51,84,63,75,61,63,G. Cahill,86,53,84,82,56,45,28,83,5,62,12,31,63
124,68,83,79,55,78,5,78,83,11,9,76,80,84,78,85,79,87,73,86,82,77,84,Dani Alves,72,70,84,80,55,74,86,81,6,79,7,34,86
125,72,34,83,48,85,8,56,82,11,12,78,78,89,78,92,30,94,24,87,84,72,86,A. Gómez,36,71,84,70,78,81,82,40,9,94,6,29,76
126,84,49,85,83,73,14,82,71,10,9,64,61,79,80,53,44,57,46,80,87,52,70,Aduriz,94,75,84,94,85,86,54,23,15,69,9,36,83
127,74,40,79,74,77,13,62,78,5,7,83,75,86,68,78,44,76,41,87,80,68,90,K. Mbappé,76,70,83,71,87,79,70,49,11,89,6,18,79
128,76,33,82,47,84,6,54,74,6,14,74,78,92,65,90,30,85,29,85,73,68,89,O. Dembélé,43,75,83,59,77,78,77,36,10,93,13,20,82
129,59,61,84,59,81,7,77,88,14,15,88,63,90,66,90,63,90,55,88,79,78,66,N. Keïta,42,58,83,56,74,74,62,79,14,82,9,22,76
130,30,87,76,84,27,9,89,68,11,7,68,36,47,48,57,86,50,85,56,73,58,72,J. Giménez,79,38,83,90,37,24,47,85,10,68,15,22,72
131,16,17,77,73,58,85,26,32,79,75,42,19,15,17,58,13,50,16,15,30,23,48,G. Rulli,12,24,83,68,15,12,12,21,82,54,86,25,24
132,75,63,76,69,82,11,63,82,15,13,79,81,88,76,85,59,84,63,86,79,71,84,T. Lemar,54,68,83,72,78,76,82,66,7,86,14,21,82
133,69,61,82,69,82,6,61,83,15,8,84,74,84,73,81,75,70,67,85,85,78,75,João Mário,55,66,83,63,66,80,77,78,8,71,8,24,77
134,29,82,80,94,30,15,81,76,7,14,65,28,42,62,33,86,32,81,63,72,61,76,N. Süle,85,32,83,38,20,26,30,82,7,51,15,21,77
135,18,8,86,68,60,81,35,15,76,82,38,12,21,18,60,15,40,9,30,58,30,63,Ederson,14,17,83,58,14,16,20,25,78,64,87,23,42
136,30,85,79,80,72,13,83,82,12,6,89,71,75,53,71,88,69,79,80,80,74,75,Fabinho,75,91,83,77,66,68,79,83,8,73,8,23,75
137,71,41,82,61,78,14,63,79,14,9,77,70,87,62,86,43,84,37,87,75,65,93,M. Salah,59,61,83,70,79,83,73,55,11,93,14,25,71
138,80,32,78,85,61,13,83,68,7,12,84,64,78,67,79,23,75,15,78,78,42,83,A. Belotti,84,77,83,83,88,85,42,31,14,80,7,23,81
139,67,17,80,63,86,13,62,86,7,9,76,81,82,80,85,26,83,23,85,79,70,72,E. Forsberg,45,64,83,53,72,77,86,43,15,78,11,25,75
140,31,86,81,74,51,6,80,80,6,12,75,49,65,35,66,85,68,85,76,79,78,72,Marquinhos,80,31,83,85,33,46,72,84,10,69,13,23,53
141,50,71,74,88,78,6,75,84,6,5,84,77,79,58,45,85,50,77,78,89,86,53,William Carvalho,73,60,83,68,56,62,66,84,14,52,14,25,59
142,70,83,77,78,58,15,80,79,10,14,79,72,69,74,68,85,66,80,75,74,73,75,S. Umtiti,72,61,83,87,51,58,69,86,12,72,15,23,83
143,71,19,75,51,79,15,40,78,9,13,75,79,88,72,92,23,85,25,88,82,74,80,R. Mahrez,45,72,83,62,74,79,81,38,11,85,6,26,76
144,45,83,79,92,59,13,78,76,10,13,76,60,70,64,57,85,51,83,73,82,76,76,V. van Dijk,80,62,83,79,52,41,53,83,11,69,11,25,81
145,79,42,82,76,83,8,66,83,11,9,86,80,87,80,82,59,81,30,85,78,75,77,Roberto Firmino,72,72,83,81,83,84,72,37,6,77,10,25,79
146,55,78,76,89,69,9,88,82,7,13,87,48,76,64,58,85,60,80,77,84,79,68,Danilo Pereira,76,52,83,67,56,69,50,85,14,67,15,25,77
147,75,23,80,81,78,11,61,81,16,8,81,76,86,73,75,21,63,25,85,70,82,79,Vitolo,65,74,83,70,79,80,80,25,14,81,16,27,77
148,13,13,85,65,38,86,35,32,81,71,33,15,15,18,65,15,62,13,21,55,31,64,A. Lopes,16,16,83,85,18,9,19,25,79,60,85,26,20
149,27,82,78,80,50,8,74,71,10,7,69,45,61,60,61,86,60,87,71,82,71,68,S. de Vrij,78,41,83,71,25,32,49,85,14,68,13,25,65
150,19,19,79,52,44,80,25,33,85,71,30,15,19,17,70,12,30,14,23,58,31,56,M. Perin,12,21,83,75,11,12,11,19,78,57,90,24,23
151,50,79,81,81,72,11,81,77,15,10,73,63,65,48,58,85,49,83,71,75,74,73,J. Matip,85,42,83,67,36,51,54,85,7,60,10,25,66
152,32,85,79,76,72,8,84,82,6,8,88,33,75,67,75,87,82,80,79,80,74,75,I. Gueye,69,54,83,85,50,67,60,87,12,78,13,27,80
153,86,18,86,59,68,12,63,80,16,9,70,83,85,80,88,21,77,20,84,73,64,79,Iago Aspas,78,80,83,68,86,85,67,36,12,84,13,29,79
154,56,84,78,80,45,12,90,71,5,8,76,50,41,56,69,83,62,81,64,84,66,64,N. Otamendi,83,44,83,86,53,49,52,85,11,62,12,29,69
155,74,75,82,89,75,7,83,83,15,12,89,68,72,75,56,83,53,75,78,84,78,66,N. Matić,77,69,83,71,64,68,68,85,14,62,9,28,78
156,78,51,83,64,86,14,65,87,9,6,67,83,88,76,79,59,58,49,87,79,83,72,J. Pastore,63,75,83,49,73,78,77,69,10,69,12,28,78
157,72,51,79,72,85,5,58-10,90,9,12,76,87,78+3,80,69,61,72,59,83,74,87,50,Parejo,63,83,83,55,75,79,84,68,14,55,8,28,80
158,75,27,81,39,82,11,30,84,9,8,80,74,87,55,92,24,88,30,85,81,73,65,S. Kagawa,42,78,83,66,76,80,60,56,9,76,13,28,56
159,78,68,82,69,82,10,68,84,14,7,87,78,83,86,81,72,77,60,85,82,80,78,G. Bonaventura,60,68,83,69,70,78,82,72,15,78,14,27,84
160,85,26,85,89,68,6,72,74,12,15,84,62,64,74,38,48,35,29,73,78,37,64,B. Dost,93,81,83,55,87,88,38,39,11,54,8,28,83
161,57,83,81,77,69,12,78,75,6,16,90,76,77,68,70,84,72,79,76,75,67,93,K. Walker,73,63,83,83,51,66,78,78,15,86,8,27,86
162,63,47,81,36,83,12,31,83,10,15,76,77,81,77,86,50,80,37,84,83,78,74,Oscar,54,68,83,66,75,81,70,34,12,75,12,25,76
163,55,78,82,91,77,7,87,82,16,16,86,73,72,66,43,83,31,75,82,85,78,61,S. N'Zonzi,79,57,83,75,64,70,59,85,16,52,13,28,79
164,36,86,81,81,64,5,81,78,11,12,70,53,43,53,72,84,59,85,73,76,70,69,M. Musacchio,81,57,83,83,48,50,55,85,6,72,12,26,57
165,55,82,81,78,59,11,73,74,8,11,68,44,64,36,64,85,61,86,72,78,69,79,O. Toprak,83,48,83,82,28,35,49,84,12,72,15,27,63
166,84,32,80,55,78,8,54,75,5,14,92,65,82,80,85,32,81,24,84,79,51,90,José Callejón,65,62,83,73,76,88,77,40,11,90,11,30,78
167,75,73,77,62,85,15,79,83,6,8,89,79,82,80,73,78,67,80,85,82,84,65,Adrien Silva,61,85,83,56,71,75,78,84,10,64,7,28,83
168,75,28,82,42,82,6,75,79,3,6,77,86,86,81,92,29,93,23,87,88,75,81,S. Giovinco,34,77,83,34,83,84,73,26,3,88,3,30,79
169,81,43,84,46,82,8,57,81,11,9,69,88,85,74,87,42,81,30,84,80,78,79,N. Gaitán,54,71,83,68,73,79,82,40,7,84,5,29,72
170,86,64,86,87,74,10,88,75,8,5,87,64,74,58,67,64,53,56,77,80,65,76,M. Mandžukić,90,76,83,85,84,89,72,66,8,68,15,31,78
